Nr.	Depth	Coverage	Quality	Average	St. Dev.	p-Value	Conditions
1	4	20	10.03017520904541	5445.8	656.4236817787731	NaN	er = 'positive' AND X219588_s_at = '[7.00,8.00)' AND X210028_s_at = '[9.00,9.00]' AND X219724_s_at = '[6.00,6.00]'
2	4	20	10.03017520904541	5445.8	656.4236817787731	NaN	X219588_s_at = '[7.00,8.00)' AND er = 'positive' AND X210028_s_at = '[9.00,9.00]' AND X219724_s_at = '[6.00,6.00]'
3	7	20	9.752279281616211	5504.35	701.2985455567408	NaN	X202418_at = '[10.00,10.00)' AND X217102_at = '[6.00,6.00)' AND X209862_s_at = '[8.00,8.00]' AND er = 'positive' AND X201288_at = '[12.00,12.00]' AND X212567_s_at = '[8.00,8.00]' AND X211779_x_at = '[10.00,10.00]'
4	7	20	9.752279281616211	5504.35	701.2985455567408	NaN	X202418_at = '[10.00,10.00)' AND X217102_at = '[6.00,6.00)' AND X209862_s_at = '[8.00,8.00]' AND er = 'positive' AND X201288_at = '[12.00,12.00]' AND X211779_x_at = '[10.00,10.00]' AND X212567_s_at = '[8.00,8.00]'
5	3	20	9.619955062866211	5458.4	690.1245177502391	NaN	size = '[1.00,2.00)' AND X221344_at = '[6.00,6.00)' AND X214806_at = '[7.00,7.00)'
6	4	20	9.542165756225586	5369.25	655.0265261804288	NaN	er = 'positive' AND X219588_s_at = '[7.00,8.00)' AND X203306_s_at = '[9.00,10.00]' AND X211382_s_at = '[8.00,8.00)'
7	4	20	9.418298721313477	5522.55	734.5902259082951	NaN	X219340_s_at = '[6.00,7.00]' AND X209500_x_at = '[9.00,9.00)' AND X201664_at = '[9.00,9.00)' AND er = 'positive'
8	4	20	9.418298721313477	5522.55	734.5902259082951	NaN	X209500_x_at = '[9.00,9.00)' AND X219340_s_at = '[6.00,7.00]' AND X201664_at = '[9.00,9.00)' AND er = 'positive'
9	4	20	8.997318267822266	5324.2	672.8675947019592	NaN	er = 'positive' AND X219588_s_at = '[7.00,8.00)' AND X203306_s_at = '[9.00,10.00]' AND X219724_s_at = '[6.00,6.00]'
10	6	21	8.664984703063965	5425.809523809524	769.2671218516392	NaN	X202418_at = '[10.00,10.00)' AND X217102_at = '[6.00,6.00)' AND X209862_s_at = '[8.00,8.00]' AND er = 'positive' AND X201288_at = '[12.00,12.00]' AND X212567_s_at = '[8.00,8.00]'
