times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,0.9852941176470582,1.0,0.9897959183673466,0.9827586206896555,1.0,0.9909090909090903,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,1.0,0.9852941176470582,0.962962962962963,0.9897959183673466,0.9827586206896555,1.0,0.9909090909090903,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
289.0,0.9846938775510209,1.0,1.0,0.9852941176470582,0.962962962962963,0.9897959183673466,0.9827586206896555,1.0,0.9909090909090903,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
394.0,0.9795918367346942,1.0,1.0,0.9852941176470582,0.962962962962963,0.9897959183673466,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
404.0,0.9744897959183678,1.0,1.0,0.9705882352941171,0.9259259259259257,0.9897959183673466,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999997
421.0,0.9693877551020412,1.0,1.0,0.955882352941176,0.888888888888889,0.9795918367346934,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
434.0,0.9642857142857149,1.0,1.0,0.955882352941176,0.888888888888889,0.9693877551020403,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
524.0,0.9591836734693882,1.0,1.0,0.955882352941176,0.888888888888889,0.9693877551020403,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
528.0,0.9540816326530618,1.0,1.0,0.9411764705882347,0.8518518518518517,0.9693877551020403,0.9827586206896555,1.0,0.9818181818181817,1.0,1.0,1.0,0.9852941176470582,1.0,0.9924242424242423,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
530.0,0.9489795918367355,1.0,1.0,0.9411764705882347,0.8518518518518517,0.9693877551020403,0.9827586206896555,0.9830508474576266,0.972727272727272,1.0,1.0,1.0,0.9852941176470582,1.0,0.9924242424242423,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
