id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(X204015_s_at=[7.00,8.00))",complement,0.999423,0.000577,2907.148148,3935.316327,4099.579882,27,196,169
R1,"(X203306_s_at=[9.00,10.00])",complement,0.994025,0.005975,4219.224490,3935.316327,3651.408163,98,196,98
R2,"(size=[1.00,2.00))",complement,0.999530,0.000470,4526.034483,3935.316327,3687.043478,58,196,138
R3,"(X202418_at=[10.00,10.00))",complement,0.992535,0.007465,4179.876923,3935.316327,3453.606061,130,196,66
R4,"(X202240_at=[6.00,7.00))",complement,0.993422,0.006578,4778.021739,3935.316327,3676.886667,46,196,150
R5,"(X219588_s_at=[7.00,8.00)) & (er=positive)",complement,0.998709,0.001291,4747.075000,3935.316327,3727.173077,40,196,156
R6,"(X202240_at=[6.00,7.00)) & (X217019_at=[7.00,7.00])",complement,0.997907,0.002093,4935.054054,3935.316327,3702.672956,37,196,159
R7,(er=positive),complement,0.988382,0.011618,4186.742424,3935.316327,3416.750000,132,196,64
R8,"(X200965_s_at=[10.00,11.00])",complement,0.975947,0.024053,4251.767857,3935.316327,3808.735714,56,196,140
R9,"(X221928_at=[6.00,7.00])",complement,0.991543,0.008457,4168.409091,3935.316327,3637.174419,110,196,86
R10,"(X203306_s_at=[9.00,10.00]) & (X202418_at=[10.00,10.00))",complement,0.997431,0.002569,4478.411765,3935.316327,3646.796875,68,196,128
R11,"(X209862_s_at=[8.00,8.00]) & (X202240_at=[6.00,7.00))",complement,0.993898,0.006102,4871.540541,3935.316327,3717.452830,37,196,159
R12,"(X209500_x_at=[9.00,10.00]) & (X203306_s_at=[9.00,9.00))",complement,0.996411,0.003589,3243.285714,3935.316327,4085.757764,35,196,161
R13,"(size=[2.00,2.00])",complement,0.999574,0.000426,3661.294574,3935.316327,4462.910448,129,196,67
