id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(TUMOR_STATUS=TUMOR FREE),complement,1.000000,0.000000,25.065292,24.102410,17.268293,291,332,41
R1,(PATH_N_STAGE=N1b),complement,0.999304,0.000696,12.951220,24.102410,25.673540,41,332,291
R2,(PATH_N_STAGE=N1b) & (RISK_GROUP=Intermediate),complement,0.999776,0.000224,13.222222,24.102410,25.425676,36,332,296
R3,(MRNA_CLUSTER=5.0),complement,0.998006,0.001994,26.323944,24.102410,23.498084,71,332,261
R4,(PATH_N_STAGE=N1b) & (WGS_STATUS=No),complement,0.999374,0.000626,13.333333,24.102410,25.535836,39,332,293
R5,(TUMOR_STATUS=WITH TUMOR),complement,1.000000,0.000000,20.520000,24.102410,24.394137,25,332,307
R6,(DISEASE_STAGE=Stage I) & (MRNA_CLUSTER=5.0),complement,0.998276,0.001724,24.483871,24.102410,24.063123,31,332,301
R7,(RISK_GROUP=Low),complement,0.983971,0.016029,20.724409,24.102410,26.195122,127,332,205
R8,(PATH_N_STAGE=N1b) & (RISK_GROUP=Intermediate) & (WGS_STATUS=No),complement,0.999803,0.000197,13.676471,24.102410,25.291946,34,332,298
R9,"(HISTOLOGICAL_TYPE=Classical) & (PATH_T_STAGE=T3) & (AGE=[60.00,85.00])",complement,0.999983,0.000017,19.526316,24.102410,24.380192,19,332,313
R10,(MRNA_CLUSTER=5.0) & (MIRNA_CLUSTER=6.0) & (DISEASE_STAGE=Stage I),complement,0.999941,0.000059,25.166667,24.102410,24.019481,24,332,308
R11,(SEX=Male),complement,0.965256,0.034744,20.208791,24.102410,25.572614,91,332,241
R12,(PATH_N_STAGE=N1b) & (HISTOLOGICAL_TYPE=Classical),complement,0.999987,0.000013,12.483871,24.102410,25.299003,31,332,301
R13,(MRNA_CLUSTER=5.0) & (RISK_GROUP=Intermediate) & (HISTOLOGICAL_TYPE=Classical),complement,0.999820,0.000180,34.236842,24.102410,22.792517,38,332,294
