times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,0.962962962962963,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,0.9545454545454544,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
289.0,0.9846938775510209,0.962962962962963,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,0.9545454545454544,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
394.0,0.9795918367346942,0.962962962962963,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,0.9545454545454544,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
404.0,0.9744897959183678,0.9259259259259257,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,0.9090909090909087,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.9545454545454544,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
421.0,0.9693877551020412,0.888888888888889,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.8636363636363633,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.9090909090909087,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
434.0,0.9642857142857149,0.888888888888889,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.8636363636363633,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.9090909090909087,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
524.0,0.9591836734693882,0.888888888888889,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.8636363636363633,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8636363636363633,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
528.0,0.9540816326530618,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
530.0,0.9489795918367355,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
649.0,0.9438775510204082,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
690.0,0.9387755102040822,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
723.0,0.9336734693877559,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
730.0,0.9285714285714287,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,0.9736842105263158,1.0,1.0,1.0,0.8181818181818179,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
794.0,0.9234693877551027,0.8518518518518517,0.9761904761904763,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,1.0,1.0,1.0,1.0,0.96875,0.9736842105263158,1.0,1.0,1.0,0.7727272727272726,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
796.0,0.918367346938776,0.8518518518518517,0.9761904761904763,1.0,0.9655172413793109,1.0,1.0,1.0,1.0,0.8095238095238095,1.0,1.0,0.8181818181818179,0.9714285714285718,1.0,0.9791666666666663,1.0,0.96875,0.9736842105263158,1.0,1.0,1.0,0.7727272727272726,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
803.0,0.9132653061224493,0.814814814814815,0.9761904761904763,1.0,0.9655172413793109,1.0,1.0,1.0,1.0,0.7619047619047619,1.0,1.0,0.7727272727272726,0.9714285714285718,1.0,0.9791666666666663,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.7272727272727271,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
805.0,0.9081632653061227,0.7777777777777778,0.9761904761904763,1.0,0.9655172413793109,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.7272727272727271,0.9714285714285718,1.0,0.9791666666666663,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.7272727272727271,1.0,0.9655172413793102,1.0,1.0,1.0,1.0,1.0
880.0,0.903061224489796,0.7407407407407406,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6666666666666665,1.0,1.0,0.6818181818181817,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.7272727272727271,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
910.0,0.8979591836734694,0.7407407407407406,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6666666666666665,1.0,1.0,0.6818181818181817,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.7272727272727271,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
958.0,0.8979591836734694,0.7407407407407406,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6666666666666665,1.0,1.0,0.6818181818181817,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.7272727272727271,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
994.0,0.8928279883381921,0.7037037037037035,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.6363636363636361,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1023.0,0.8876967930029154,0.7037037037037035,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.6363636363636361,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1104.0,0.8876967930029154,0.7037037037037035,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.6363636363636361,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1112.0,0.88253576513662,0.7037037037037035,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.6363636363636361,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1136.0,0.8773747372703239,0.7037037037037035,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.6363636363636361,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1171.0,0.8722137094040276,0.6666666666666665,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.5909090909090908,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1206.0,0.8670526815377314,0.6666666666666665,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.5909090909090908,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
