times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289.0,0.9846938775510209,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394.0,0.9795918367346942,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
404.0,0.9744897959183678,0.9259259259259257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
421.0,0.9693877551020412,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
434.0,0.9642857142857149,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
524.0,0.9591836734693882,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
528.0,0.9540816326530618,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
530.0,0.9489795918367355,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9830508474576266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
649.0,0.9438775510204082,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9661016949152541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
690.0,0.9387755102040822,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9661016949152541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
723.0,0.9336734693877559,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,0.9661016949152541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
730.0,0.9285714285714287,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,0.9843750000000002,1.0,1.0,0.9661016949152541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484849,1.0,1.0
794.0,0.9234693877551027,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,0.9843750000000002,1.0,1.0,0.9661016949152541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484849,1.0,1.0
796.0,0.918367346938776,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793109,1.0,0.9843750000000002,1.0,1.0,0.9491525423728815,0.9791666666666663,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484849,0.9714285714285718,1.0
803.0,0.9132653061224493,0.814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793109,1.0,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9791666666666663,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484849,0.9714285714285718,1.0
805.0,0.9081632653061227,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793109,1.0,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9791666666666663,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484849,0.9714285714285718,1.0
880.0,0.903061224489796,0.7407407407407406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285718,1.0
910.0,0.8979591836734694,0.7407407407407406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285718,1.0
958.0,0.8979591836734694,0.7407407407407406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285718,1.0
994.0,0.8928279883381921,0.7037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285718,1.0
1023.0,0.8876967930029154,0.7037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9543049543049545,0.9714285714285718,1.0
1104.0,0.8876967930029154,0.7037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9543049543049545,0.9714285714285718,1.0
1112.0,0.88253576513662,0.7037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9543049543049545,0.9714285714285718,1.0
1136.0,0.8773747372703239,0.7037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948275862068966,0.9772727272727274,0.9843750000000002,1.0,0.9767441860465118,0.9491525423728815,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.9543049543049545,0.9714285714285718,1.0
