times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,0.9827586206896555,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,0.9523809523809522
289.0,0.9846938775510209,1.0,0.9827586206896555,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,0.9523809523809522
394.0,0.9795918367346942,1.0,0.9827586206896555,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,0.9523809523809522
404.0,0.9744897959183678,1.0,0.9827586206896555,0.9259259259259257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,0.9047619047619045
421.0,0.9693877551020412,1.0,0.9827586206896555,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,0.857142857142857
434.0,0.9642857142857149,1.0,0.9827586206896555,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,0.857142857142857
524.0,0.9591836734693882,1.0,0.9827586206896555,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,0.857142857142857
528.0,0.9540816326530618,1.0,0.9827586206896555,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,0.8095238095238095
530.0,0.9489795918367355,1.0,0.9827586206896555,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,0.8095238095238095
