times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
269.0,0.9897959183673475,1.0,0.962962962962963,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
289.0,0.9846938775510209,1.0,0.962962962962963,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
394.0,0.9795918367346942,1.0,0.962962962962963,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
404.0,0.9744897959183678,1.0,0.9259259259259257,1.0,1.0,0.9827586206896555,1.0,0.9047619047619045,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
421.0,0.9693877551020412,1.0,0.888888888888889,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,1.0,0.96875,1.0,1.0,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
434.0,0.9642857142857149,1.0,0.888888888888889,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,1.0,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
524.0,0.9591836734693882,1.0,0.888888888888889,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,1.0,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
528.0,0.9540816326530618,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,1.0,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
530.0,0.9489795918367355,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,1.0,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
649.0,0.9438775510204082,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
690.0,0.9387755102040822,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
723.0,0.9336734693877559,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763
730.0,0.9285714285714287,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,0.9761904761904763
794.0,0.9234693877551027,1.0,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,0.9761904761904763
796.0,0.918367346938776,1.0,0.8518518518518517,1.0,1.0,0.9655172413793109,1.0,0.8095238095238095,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
803.0,0.9132653061224493,1.0,0.814814814814815,1.0,1.0,0.9655172413793109,1.0,0.7619047619047619,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
805.0,0.9081632653061227,1.0,0.7777777777777778,1.0,1.0,0.9655172413793109,1.0,0.7142857142857143,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
880.0,0.903061224489796,1.0,0.7407407407407406,1.0,0.9772727272727274,0.948275862068966,1.0,0.6666666666666665,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
910.0,0.8979591836734694,1.0,0.7407407407407406,1.0,0.9772727272727274,0.948275862068966,1.0,0.6666666666666665,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
