id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(X204015_s_at=[7.00,8.00))",population,0.995558,0.004442,2907.148148,3935.316327,4099.579882,27,196,169
R1,"(size=[1.00,2.00))",population,0.993725,0.006275,4526.034483,3935.316327,3687.043478,58,196,138
R2,"(X202240_at=[6.00,7.00))",population,0.974525,0.025475,4778.021739,3935.316327,3676.886667,46,196,150
R3,"(X219588_s_at=[7.00,8.00)) & (X209500_x_at=[9.00,9.00))",population,0.985881,0.014119,5161.600000,3935.316327,3795.965909,20,196,176
R4,"(X202418_at=[10.00,10.00)) & (X219588_s_at=[7.00,8.00))",population,0.987203,0.012797,4755.171429,3935.316327,3757.086957,35,196,161
R5,"(X202240_at=[6.00,7.00)) & (er=positive)",population,0.975908,0.024092,4842.926829,3935.316327,3695.238710,41,196,155
R6,"(X220886_at=[5.00,6.00)) & (X217102_at=[6.00,6.00))",population,0.982597,0.017403,4222.392857,3935.316327,3887.470238,28,196,168
R7,"(X201664_at=[9.00,9.00)) & (X217771_at=[10.00,11.00])",population,0.976655,0.023345,4863.250000,3935.316327,3805.837209,24,196,172
R8,"(X219588_s_at=[7.00,8.00)) & (er=positive)",population,0.994309,0.005691,4747.075000,3935.316327,3727.173077,40,196,156
R9,"(X203306_s_at=[9.00,10.00]) & (X219724_s_at=[6.00,6.00]) & (X202418_at=[10.00,10.00))",population,0.981807,0.018193,4617.660000,3935.316327,3701.636986,50,196,146
R10,"(X204888_s_at=[6.00,6.00]) & (X202240_at=[6.00,7.00))",population,0.982027,0.017973,4843.531250,3935.316327,3758.103659,32,196,164
R11,"(X215633_x_at=[8.00,8.00)) & (X203306_s_at=[9.00,10.00])",population,0.975479,0.024521,4525.357143,3935.316327,3774.396104,42,196,154
R12,"(X201664_at=[9.00,9.00)) & (X202418_at=[10.00,10.00))",population,0.988953,0.011047,4878.046512,3935.316327,3670.366013,43,196,153
R13,"(X202240_at=[6.00,7.00)) & (X217471_at=[6.00,6.00))",population,0.983977,0.016023,4917.615385,3935.316327,3785.082353,26,196,170
R14,"(X202240_at=[6.00,7.00)) & (X215633_x_at=[8.00,8.00))",population,0.983149,0.016851,4791.730769,3935.316327,3804.335294,26,196,170
R15,"(X217019_at=[7.00,7.00]) & (X202240_at=[6.00,7.00))",population,0.992377,0.007623,4935.054054,3935.316327,3702.672956,37,196,159
R16,"(X215633_x_at=[8.00,8.00)) & (grade=intermediate)",population,0.975857,0.024143,5029.837838,3935.316327,3680.616352,37,196,159
R17,"(X219588_s_at=[7.00,8.00)) & (X211762_s_at=[10.00,10.00))",population,0.983903,0.016097,4726.454545,3935.316327,3775.147239,33,196,163
R18,"(X203306_s_at=[9.00,10.00]) & (er=positive) & (X202418_at=[10.00,10.00))",population,0.982707,0.017293,4626.571429,3935.316327,3704.897959,49,196,147
R19,"(X202240_at=[6.00,7.00)) & (X212014_x_at=[10.00,10.00])",population,0.984722,0.015278,4760.060606,3935.316327,3768.343558,33,196,163
R20,"(X201368_at=[11.00,12.00]) & (X217815_at=[10.00,10.00]) & (X221028_s_at=[6.00,7.00))",population,0.979934,0.020066,4798.760000,3935.316327,3809.081871,25,196,171
R21,"(X204740_at=[8.00,8.00]) & (X204015_s_at=[9.00,10.00))",population,0.970859,0.029141,4182.756098,3935.316327,3869.864516,41,196,155
R22,"(size=[1.00,2.00)) & (er=positive)",population,0.997582,0.002418,4756.727273,3935.316327,3697.539474,44,196,152
R23,"(X202418_at=[10.00,10.00)) & (X217102_at=[6.00,6.00))",population,0.976283,0.023717,4465.983051,3935.316327,3706.781022,59,196,137
R24,"(X217019_at=[7.00,7.00]) & (size=[1.00,2.00))",population,0.998713,0.001287,4704.452381,3935.316327,3725.551948,42,196,154
R25,"(X202240_at=[6.00,7.00)) & (X209862_s_at=[8.00,8.00])",population,0.981550,0.018450,4871.540541,3935.316327,3717.452830,37,196,159
R26,"(size=[1.00,2.00)) & (X203391_at=[10.00,10.00])",population,0.996027,0.003973,4610.208333,3935.316327,3716.432432,48,196,148
R27,"(X211762_s_at=[10.00,10.00)) & (X201664_at=[9.00,9.00))",population,0.979406,0.020594,4892.882353,3935.316327,3734.345679,34,196,162
R28,"(X218883_s_at=[7.00,9.00)) & (X219588_s_at=[7.00,8.00))",population,0.951727,0.048273,4307.666667,3935.316327,3890.634286,21,196,175
R29,"(X202240_at=[6.00,7.00)) & (X201091_s_at=[9.00,10.00])",population,0.976265,0.023735,4741.625000,3935.316327,3822.808140,24,196,172
