times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,0.96875,1.0,1.0,1.0,1.0,1.0,0.9846153846153846,1.0,0.972972972972973,0.9814814814814815,1.0,1.0,0.96875,1.0,0.9743589743589743,0.9767441860465118,0.9761904761904763
5.0,0.9930413873506263,0.96875,1.0,1.0,1.0,1.0,1.0,0.9846153846153846,1.0,0.972972972972973,0.9814814814814815,1.0,1.0,0.96875,1.0,0.9743589743589743,0.9767441860465118,0.9761904761904763
6.0,0.989377027987709,0.96875,1.0,1.0,1.0,1.0,1.0,0.9846153846153846,1.0,0.944356120826709,0.9814814814814815,1.0,1.0,0.96875,1.0,0.9465201465201468,0.9767441860465118,0.9761904761904763
7.0,0.9856007797892833,0.9328703703703705,1.0,1.0,1.0,1.0,1.0,0.9670329670329668,0.9777777777777777,0.944356120826709,0.9605988967691097,0.972972972972973,1.0,0.9300000000000003,1.0,0.9465201465201468,0.9503456945317412,0.9498069498069499
8.0,0.9816265830965845,0.9328703703703705,0.9696969696969697,0.9666666666666667,0.9696969696969697,1.0,0.9666666666666667,0.9670329670329668,0.9777777777777777,0.9128775834658186,0.9605988967691097,0.972972972972973,1.0,0.8857142857142859,1.0,0.9169413919413923,0.9503456945317412,0.9498069498069499
9.0,0.9816265830965845,0.9328703703703705,0.9696969696969697,0.9666666666666667,0.9696969696969697,1.0,0.9666666666666667,0.9670329670329668,0.9777777777777777,0.9128775834658186,0.9605988967691097,0.972972972972973,1.0,0.8857142857142859,1.0,0.9169413919413923,0.9503456945317412,0.9498069498069499
10.0,0.9771646440825088,0.9328703703703705,0.9337822671156005,0.9263888888888888,0.9337822671156005,1.0,0.9263888888888888,0.9460105112279021,0.9506172839506172,0.9128775834658186,0.9353199784330806,0.9382239382239383,1.0,0.8857142857142859,1.0,0.9169413919413923,0.9223943505749251,0.9498069498069499
11.0,0.9725335320252454,0.8862268518518519,0.8931830381105745,0.882275132275132,0.8931830381105745,1.0,0.882275132275132,0.924510272336359,0.9226579520697166,0.9128775834658186,0.9100410600970513,0.902138402138402,1.0,0.8857142857142859,1.0,0.9169413919413923,0.8944430066181092,0.9158852730281304
12.0,0.9725335320252454,0.8862268518518519,0.8931830381105745,0.882275132275132,0.8931830381105745,1.0,0.882275132275132,0.924510272336359,0.9226579520697166,0.9128775834658186,0.9100410600970513,0.902138402138402,1.0,0.8857142857142859,1.0,0.9169413919413923,0.8944430066181092,0.9158852730281304
13.0,0.9673048571218831,0.8862268518518519,0.8931830381105745,0.882275132275132,0.8931830381105745,1.0,0.882275132275132,0.924510272336359,0.9226579520697166,0.9128775834658186,0.9100410600970513,0.902138402138402,1.0,0.8857142857142859,0.9868421052631576,0.9169413919413923,0.8944430066181092,0.9158852730281304
