times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965217391304348,0.982608695652174,0.9775280898876406,1.0,1.0,0.995884773662552,1.0
6.0,0.9930434782608696,0.9652173913043475,0.9775280898876406,1.0,1.0,0.9917695473251029,1.0
7.0,0.9860869565217385,0.9304347826086952,0.9325842696629218,1.0,1.0,0.9794238683127577,1.0
8.0,0.9843478260869565,0.9217391304347823,0.9213483146067419,1.0,1.0,0.9794238683127577,1.0
9.0,0.982608695652174,0.9130434782608692,0.9101123595505624,1.0,1.0,0.9794238683127577,1.0
10.0,0.9773913043478256,0.88695652173913,0.8764044943820226,1.0,1.0,0.9711934156378607,1.0
11.0,0.9739130434782604,0.8695652173913047,0.8651685393258431,1.0,1.0,0.9670781893004117,0.9850746268656716
12.0,0.9704347826086953,0.8521739130434784,0.8426966292134831,1.0,1.0,0.9670781893004117,0.9850746268656716
14.0,0.9634782608695651,0.8173913043478259,0.808988764044944,1.0,1.0,0.9547325102880659,0.9552238805970149
15.0,0.9599999999999994,0.8,0.7977528089887642,1.0,1.0,0.9547325102880659,0.9552238805970149
18.0,0.9582608695652175,0.7913043478260866,0.7865168539325847,1.0,1.0,0.9506172839506172,0.9552238805970149
19.0,0.9547826086956518,0.7739130434782606,0.764044943820225,1.0,1.0,0.9465020576131691,0.9402985074626867
20.0,0.9530434782608697,0.7652173913043481,0.7528089887640448,1.0,1.0,0.9465020576131691,0.9402985074626867
21.0,0.9495652173913042,0.7478260869565213,0.7303370786516853,1.0,1.0,0.9382716049382721,0.9104477611940303
22.0,0.9460869565217386,0.7304347826086954,0.7078651685393259,1.0,1.0,0.9341563786008235,0.9104477611940303
23.0,0.9373913043478262,0.6869565217391304,0.662921348314607,1.0,1.0,0.9176954732510291,0.8805970149253737
24.0,0.9339130434782609,0.6695652173913045,0.6516853932584269,1.0,1.0,0.9176954732510291,0.8805970149253737
25.0,0.932173913043478,0.6608695652173913,0.6404494382022474,1.0,1.0,0.9135802469135803,0.8656716417910448
26.0,0.9252173913043478,0.6260869565217391,0.5955056179775283,1.0,1.0,0.9012345679012349,0.8656716417910448
28.0,0.923478260869565,0.6173913043478261,0.5842696629213485,1.0,1.0,0.897119341563786,0.8507462686567168
29.0,0.9217391304347823,0.6086956521739132,0.5730337078651686,1.0,1.0,0.8930041152263378,0.8507462686567168
30.0,0.9182608695652171,0.5913043478260871,0.550561797752809,1.0,1.0,0.8847736625514402,0.8358208955223887
31.0,0.9147826086956522,0.5739130434782606,0.5280898876404495,1.0,1.0,0.8765432098765437,0.8358208955223887
32.0,0.9113043478260866,0.5565217391304346,0.5056179775280899,1.0,1.0,0.8683127572016464,0.8208955223880602
33.0,0.9095652173913045,0.5478260869565216,0.49438202247191015,1.0,1.0,0.8683127572016464,0.8208955223880602
34.0,0.9078260869565219,0.5391304347826087,0.4831460674157304,1.0,1.0,0.8641975308641975,0.8208955223880602
35.0,0.9026086956521735,0.5130434782608696,0.46067415730337097,1.0,1.0,0.860082304526749,0.8208955223880602
36.0,0.8973913043478259,0.5130434782608696,0.46067415730337097,1.0,0.9734513274336284,0.8559670781893005,0.8059701492537317
37.0,0.893913043478261,0.5043478260869564,0.44943820224719105,1.0,0.9646017699115039,0.8518518518518517,0.8059701492537317
38.0,0.8904347826086954,0.4956521739130435,0.44943820224719105,1.0,0.9557522123893805,0.8477366255144037,0.7910447761194034
40.0,0.8886956521739128,0.48695652173913057,0.43820224719101125,1.0,0.9557522123893805,0.8477366255144037,0.7910447761194034
43.0,0.88695652173913,0.48695652173913057,0.43820224719101125,1.0,0.946902654867256,0.8436213991769551,0.776119402985075
44.0,0.88,0.46956521739130436,0.4157303370786517,1.0,0.9292035398230083,0.8353909465020577,0.776119402985075
45.0,0.8747826086956519,0.4608695652173913,0.40449438202247195,1.0,0.9115044247787609,0.8312757201646095,0.776119402985075
46.0,0.8695652173913039,0.4608695652173913,0.40449438202247195,1.0,0.8849557522123895,0.8230452674897119,0.7611940298507465
47.0,0.8643478260869565,0.4521739130434783,0.39325842696629215,1.0,0.8672566371681417,0.814814814814815,0.7313432835820897
48.0,0.862608695652174,0.4521739130434783,0.39325842696629215,1.0,0.8584070796460175,0.814814814814815,0.7313432835820897
50.0,0.8608695652173911,0.4521739130434783,0.39325842696629215,1.0,0.8495575221238935,0.814814814814815,0.7313432835820897
51.0,0.8539130434782605,0.44347826086956516,0.3820224719101125,1.0,0.8230088495575222,0.814814814814815,0.7313432835820897
52.0,0.8521739130434778,0.44347826086956516,0.3820224719101125,1.0,0.8141592920353982,0.8106995884773665,0.7313432835820897
53.0,0.8486956521739132,0.44347826086956516,0.3820224719101125,1.0,0.7964601769911502,0.8065843621399176,0.7164179104477616
54.0,0.8434782608695651,0.44347826086956516,0.3820224719101125,1.0,0.7699115044247785,0.8024691358024693,0.701492537313433
55.0,0.8417391304347828,0.44347826086956516,0.3820224719101125,1.0,0.7610619469026544,0.8024691358024693,0.701492537313433
56.0,0.8365217391304345,0.4347826086956521,0.37078651685393266,1.0,0.7433628318584067,0.7942386831275722,0.701492537313433
57.0,0.8313043478260871,0.426086956521739,0.35955056179775285,1.0,0.7256637168141593,0.7818930041152266,0.701492537313433
58.0,0.8278260869565218,0.4173913043478261,0.3483146067415731,1.0,0.7168141592920355,0.7777777777777781,0.701492537313433
59.0,0.8243478260869567,0.4173913043478261,0.3483146067415731,1.0,0.6991150442477875,0.7777777777777781,0.701492537313433
60.0,0.8226086956521734,0.4173913043478261,0.3483146067415731,1.0,0.6902654867256636,0.7777777777777781,0.701492537313433
61.0,0.8208695652173909,0.4173913043478261,0.3483146067415731,1.0,0.6814159292035399,0.7777777777777781,0.701492537313433
62.0,0.8191304347826085,0.4173913043478261,0.3483146067415731,1.0,0.6725663716814158,0.7777777777777781,0.701492537313433
65.0,0.8121739130434782,0.40869565217391296,0.33707865168539336,1.0,0.6460176991150439,0.7654320987654326,0.6567164179104479
67.0,0.8104347826086952,0.39999999999999997,0.33707865168539336,1.0,0.6460176991150439,0.7613168724279834,0.6567164179104479
68.0,0.8069565217391302,0.39999999999999997,0.33707865168539336,1.0,0.6283185840707963,0.7613168724279834,0.6567164179104479
69.0,0.8034782608695649,0.39130434782608686,0.32584269662921356,1.0,0.6194690265486726,0.7613168724279834,0.6567164179104479
70.0,0.8,0.39130434782608686,0.32584269662921356,1.0,0.6017699115044248,0.7530864197530869,0.6417910447761196
71.0,0.7965217391304349,0.39130434782608686,0.32584269662921356,1.0,0.5840707964601767,0.7489711934156379,0.6268656716417913
72.0,0.7947826086956523,0.39130434782608686,0.32584269662921356,1.0,0.5752212389380528,0.7448559670781897,0.6268656716417913
73.0,0.7913043478260866,0.39130434782608686,0.32584269662921356,1.0,0.5575221238938051,0.7366255144032923,0.6268656716417913
74.0,0.7860869565217393,0.3826086956521738,0.31460674157303375,1.0,0.5398230088495575,0.7366255144032923,0.6268656716417913
75.0,0.7843478260869565,0.3826086956521738,0.31460674157303375,1.0,0.5309734513274333,0.7325102880658437,0.6268656716417913
76.0,0.7808695652173913,0.3652173913043478,0.29213483146067426,1.0,0.5309734513274333,0.7325102880658437,0.6268656716417913
78.0,0.7756521739130434,0.3565217391304348,0.2808988764044944,1.0,0.5132743362831856,0.728395061728395,0.611940298507463
79.0,0.7686956521739127,0.3478260869565217,0.2808988764044944,1.0,0.5044247787610618,0.7242798353909463,0.611940298507463
80.0,0.7652173913043474,0.3391304347826086,0.2808988764044944,1.0,0.5044247787610618,0.7201646090534984,0.611940298507463
81.0,0.7582608695652171,0.30434782608695643,0.24719101123595516,1.0,0.5044247787610618,0.7119341563786012,0.5970149253731345
83.0,0.7547826086956522,0.30434782608695643,0.24719101123595516,1.0,0.49557522123893816,0.7078189300411522,0.5820895522388061
84.0,0.7495652173913039,0.30434782608695643,0.24719101123595516,1.0,0.48672566371681414,0.7037037037037042,0.5820895522388061
85.0,0.746086956521739,0.30434782608695643,0.24719101123595516,1.0,0.48672566371681414,0.6995884773662555,0.5820895522388061
86.0,0.7408695652173914,0.2956521739130435,0.23595505617977533,1.0,0.47787610619469023,0.6913580246913581,0.5671641791044777
87.0,0.7304347826086954,0.2956521739130435,0.23595505617977533,1.0,0.47787610619469023,0.6831275720164613,0.5522388059701494
89.0,0.7269565217391303,0.2956521739130435,0.23595505617977533,1.0,0.4690265486725663,0.6831275720164613,0.5522388059701494
90.0,0.7199999999999996,0.2956521739130435,0.23595505617977533,1.0,0.4690265486725663,0.6748971193415642,0.537313432835821
91.0,0.7165217391304348,0.2956521739130435,0.23595505617977533,1.0,0.4690265486725663,0.6666666666666665,0.537313432835821
92.0,0.7113043478260871,0.2869565217391304,0.22471910112359553,1.0,0.4690265486725663,0.6625514403292183,0.537313432835821
93.0,0.709565217391304,0.2869565217391304,0.22471910112359553,1.0,0.4690265486725663,0.6584362139917694,0.537313432835821
94.0,0.7043478260869561,0.2869565217391304,0.22471910112359553,1.0,0.46017699115044247,0.6502057613168726,0.537313432835821
95.0,0.7008695652173909,0.2869565217391304,0.22471910112359553,1.0,0.46017699115044247,0.6460905349794238,0.537313432835821
96.0,0.697391304347826,0.2869565217391304,0.22471910112359553,1.0,0.46017699115044247,0.6419753086419755,0.537313432835821
97.0,0.6956521739130431,0.27826086956521734,0.22471910112359553,1.0,0.46017699115044247,0.6419753086419755,0.537313432835821
98.0,0.6921739130434781,0.27826086956521734,0.22471910112359553,1.0,0.46017699115044247,0.637860082304527,0.5223880597014926
99.0,0.6869565217391304,0.26956521739130435,0.21348314606741572,1.0,0.46017699115044247,0.6337448559670785,0.5074626865671644
100.0,0.683478260869565,0.26956521739130435,0.21348314606741572,1.0,0.45132743362831845,0.6296296296296297,0.49253731343283597
101.0,0.6817391304347822,0.26956521739130435,0.21348314606741572,1.0,0.44247787610619455,0.6255144032921812,0.49253731343283597
102.0,0.6747826086956521,0.26956521739130435,0.21348314606741572,1.0,0.43362831858407064,0.6131687242798356,0.4776119402985076
103.0,0.6713043478260868,0.26956521739130435,0.21348314606741572,1.0,0.43362831858407064,0.6090534979423867,0.4626865671641793
104.0,0.6678260869565216,0.26956521739130435,0.21348314606741572,1.0,0.4247787610619469,0.6049382716049382,0.4626865671641793
105.0,0.6643478260869564,0.2608695652173913,0.20224719101123595,1.0,0.4247787610619469,0.6049382716049382,0.4626865671641793
106.0,0.6556521739130434,0.25217391304347825,0.20224719101123595,1.0,0.4159292035398228,0.5925925925925928,0.4626865671641793
107.0,0.6539130434782607,0.25217391304347825,0.20224719101123595,1.0,0.4159292035398228,0.5925925925925928,0.4626865671641793
110.0,0.6504347826086957,0.25217391304347825,0.20224719101123595,1.0,0.407079646017699,0.5843621399176957,0.44776119402985093
111.0,0.6486956521739131,0.25217391304347825,0.20224719101123595,1.0,0.407079646017699,0.5802469135802472,0.44776119402985093
113.0,0.64695652173913,0.25217391304347825,0.20224719101123595,1.0,0.407079646017699,0.5761316872427982,0.44776119402985093
115.0,0.6382608695652174,0.25217391304347825,0.20224719101123595,1.0,0.38938053097345116,0.5679012345679015,0.44776119402985093
116.0,0.634782608695652,0.25217391304347825,0.20224719101123595,1.0,0.3716814159292035,0.5679012345679015,0.44776119402985093
118.0,0.6330434782608694,0.25217391304347825,0.20224719101123595,1.0,0.3716814159292035,0.5637860082304529,0.4328358208955226
119.0,0.6260869565217391,0.24347826086956517,0.19101123595505623,1.0,0.3716814159292035,0.5596707818930045,0.4328358208955226
120.0,0.6208695652173909,0.24347826086956517,0.19101123595505623,1.0,0.3716814159292035,0.5596707818930045,0.4328358208955226
121.0,0.6156521739130432,0.24347826086956517,0.19101123595505623,1.0,0.3716814159292035,0.5473251028806585,0.4328358208955226
122.0,0.6086956521739126,0.24347826086956517,0.19101123595505623,1.0,0.35398230088495564,0.5432098765432098,0.4179104477611941
123.0,0.6034782608695651,0.24347826086956517,0.19101123595505623,1.0,0.3362831858407078,0.5349794238683128,0.3880597014925375
124.0,0.6000000000000001,0.24347826086956517,0.19101123595505623,1.0,0.32743362831858397,0.5349794238683128,0.3880597014925375
126.0,0.5982608695652171,0.24347826086956517,0.19101123595505623,1.0,0.31858407079646006,0.5349794238683128,0.3880597014925375
127.0,0.5965217391304344,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
129.0,0.5947826086956518,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
130.0,0.5913043478260871,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
131.0,0.589565217391304,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
132.0,0.5878260869565216,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
133.0,0.5860869565217389,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
134.0,0.5843478260869563,0.24347826086956517,0.19101123595505623,1.0,0.30973451327433615,0.5308641975308642,0.3880597014925375
136.0,0.5808695652173914,0.24347826086956517,0.19101123595505623,1.0,0.30088495575221236,0.5267489711934156,0.3880597014925375
137.0,0.5791304347826086,0.24347826086956517,0.19101123595505623,1.0,0.30088495575221236,0.5267489711934156,0.3880597014925375
