id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(size={'[1.00,2.00)'})",complement,0.999530,0.000470,4526.034483,3935.316327,3687.043478,58,196,138
R1,"(X200965_s_at={'[10.00,11.00]'})",complement,0.975947,0.024053,4251.767857,3935.316327,3808.735714,56,196,140
R2,"(X202240_at={'[6.00,7.00)'}) & (X209862_s_at={'[8.00,8.00]'})",complement,0.993898,0.006102,4871.540541,3935.316327,3717.452830,37,196,159
R3,"(X203306_s_at={'[9.00,10.00]'})",complement,0.994025,0.005975,4219.224490,3935.316327,3651.408163,98,196,98
R4,"(X202239_at={'[9.00,10.00)'}) & (X204015_s_at={'[7.00,8.00)'})",complement,1.000000,0.000000,1516.900000,3935.316327,4065.338710,10,196,186
R5,"(X202687_s_at={'[9.00,10.00)'}) & (X217767_at={'[11.00,12.00)'})",complement,0.999459,0.000541,2758.090909,3935.316327,4005.313514,11,196,185
R6,"(er={'positive'}) & (X217404_s_at={'[3.00,5.00)'})",complement,0.997180,0.002820,4527.285714,3935.316327,3773.870130,42,196,154
R7,"(X221928_at={'[6.00,7.00]'}) & (X217019_at={'[7.00,7.00]'}) & (X203391_at={'[10.00,10.00]'})",complement,0.998995,0.001005,4378.000000,3935.316327,3735.288889,61,196,135
R8,"(X201288_at={'[12.00,12.00]'}) & (X217767_at={'[12.00,12.00]'}) & (X209500_x_at={'[9.00,9.00)'})",complement,0.996220,0.003780,5104.815789,3935.316327,3654.044304,38,196,158
R9,"(X203306_s_at={'[9.00,9.00)'})",complement,0.992239,0.007761,3570.411765,3935.316327,4214.747748,85,196,111
R10,"(X221634_at={'[7.00,7.00)'}) & (X205034_at={'[8.00,8.00]'}) & (X210028_s_at={'[9.00,9.00]'}) & (X203306_s_at={'[9.00,9.00)'})",complement,0.999961,0.000039,2255.714286,3935.316327,4064.516484,14,196,182
