times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9701046337817638,0.849056603773585,1.0,1.0,1.0,0.985239852398524,0.9675392670157066
2.0,0.9499097030862298,0.7467149595687335,1.0,1.0,1.0,0.9778597785977857,0.9455259142450357
3.0,0.9386902971442661,0.6898584905660379,1.0,1.0,1.0,0.9741697416974167,0.9318986006250959
4.0,0.9274708912023034,0.6330020215633428,1.0,1.0,1.0,0.9630996309963101,0.9203677967928395
5.0,0.9199912872409939,0.5950977088948788,1.0,1.0,1.0,0.9630996309963101,0.9109335027482659
6.0,0.913259643675816,0.5609838274932615,1.0,1.0,1.0,0.9557195571955714,0.9046439733852166
7.0,0.9087718812990306,0.5382412398921836,1.0,1.0,1.0,0.9520295202952027,0.8994026989160093
8.0,0.8990483961493293,0.4889656334231807,1.0,1.0,1.0,0.9409594095940955,0.8910166597652777
9.0,0.892316752584151,0.45485175202156347,1.0,1.0,1.0,0.9372693726937268,0.8847271304022285
10.0,0.8848371486228425,0.4169474393531001,1.0,1.0,1.0,0.933579335793358,0.8752928363576543
11.0,0.8780998099277446,0.3825205865624774,1.0,1.0,1.0,0.9298746558894155,0.8669067972069225
12.0,0.873608250797679,0.3595693513687286,1.0,1.0,1.0,0.9298746558894155,0.8627137776315567
13.0,0.8698652848559578,0.3404433220406047,1.0,1.0,1.0,0.9261699759854737,0.858520758056191
14.0,0.8683680984792698,0.3327929103093552,1.0,1.0,1.0,0.9224652960815319,0.8574725031623488
15.0,0.8638765393492048,0.3098416751156067,1.0,1.0,1.0,0.9150559362736486,0.8543277384808248
16.0,0.8601335734074835,0.2907156457874827,1.0,1.0,1.0,0.9113512563697062,0.8501347189054589
17.0,0.8548934210890745,0.2639392047281094,1.0,1.0,1.0,0.9113512563697062,0.8438451895424098
18.0,0.8504018619590094,0.24098796953436064,1.0,1.0,1.0,0.9039418965618229,0.839652169967044
19.0,0.8474074892056324,0.22568714607186163,1.0,1.0,1.0,0.9039418965618229,0.8354591503916777
20.0,0.8406701505105342,0.19126029328123859,1.0,1.0,1.0,0.8965325367539392,0.8281213661347873
21.0,0.8376757777571575,0.17595946981873953,1.0,1.0,1.0,0.8928278568499968,0.8249766014532625
22.0,0.8294412526853716,0.133882205296867,1.0,1.0,1.0,0.8928278568499968,0.8155423074086888
23.0,0.8279440663086832,0.12623179356561748,1.0,1.0,1.0,0.8928278568499968,0.8134457976210062
24.0,0.8219553208019295,0.09563014664061929,1.0,1.0,1.0,0.8854184970421135,0.8071562682579567
25.0,0.8167151684835199,0.06885370558124589,1.0,1.0,1.0,0.8817138171381715,0.8008667388949082
26.0,0.8129722025417989,0.04972767625312204,1.0,1.0,1.0,0.8780091372342297,0.7977219742133836
27.0,0.8077320502233896,0.04590247038749727,0.9773584905660375,1.0,1.0,0.8780091372342297,0.7914324448503346
28.0,0.8024918979049803,0.0420772645218725,0.9547169811320757,1.0,1.0,0.8705997774263456,0.7872394252749683
29.0,0.7980003387749149,0.0420772645218725,0.9320754716981137,1.0,1.0,0.866895097522404,0.7840946605934442
30.0,0.7920115932681616,0.0420772645218725,0.9018867924528307,1.0,1.0,0.8594857377145199,0.7778051312303949
31.0,0.7867714409497524,0.0420772645218725,0.8754716981132077,1.0,1.0,0.8557810578105778,0.7715156018673462
32.0,0.7807826954429987,0.0420772645218725,0.8452830188679245,1.0,1.0,0.8520763779066363,0.7641778176104556
33.0,0.7777883226896217,0.0420772645218725,0.8301886792452835,1.0,1.0,0.8520763779066363,0.7610330529289308
34.0,0.7732967635595566,0.0420772645218725,0.8075471698113207,1.0,1.0,0.8483716980026945,0.7557917784597236
35.0,0.7680566112411471,0.0420772645218725,0.781132075471698,1.0,1.0,0.8483716980026945,0.7495022490966743
36.0,0.7643099936253362,0.03825205865624773,0.7659644623557429,1.0,1.0,0.8446670180987526,0.7453033569448725
37.0,0.7598140524863641,0.03825205865624773,0.7432130426818093,1.0,1.0,0.8446670180987526,0.74005474175512
38.0,0.7553181113473915,0.03825205865624773,0.7204616230078768,1.0,1.0,0.8409623381948107,0.7348061265653669
39.0,0.7508221702084186,0.03825205865624773,0.697710203333944,1.0,1.0,0.8335529783869267,0.7316569574515157
40.0,0.7470755525926082,0.03825205865624773,0.6787506869389995,1.0,1.0,0.8335529783869267,0.7274580652997135
41.0,0.7448275820231222,0.03825205865624773,0.6673749771020329,1.0,1.0,0.826143618579043,0.7264083422617627
42.0,0.7388329938378251,0.03825205865624773,0.6370397508701224,1.0,1.0,0.8224389386751009,0.7190602809961094
43.0,0.7335877291756905,0.03825205865624773,0.6104964279172008,1.0,1.0,0.8187342587711588,0.7127619427684062
44.0,0.7283424645135558,0.03442685279062296,0.5877450082432679,1.0,1.0,0.8150295788672175,0.7075133275786534
45.0,0.7245919883832075,0.03442685279062296,0.5686623781054994,1.0,1.0,0.8150295788672175,0.7022569135550376
46.0,0.7140906552182334,0.03442685279062296,0.5152310137197478,1.0,1.0,0.8076202190593332,0.6917440855078067
47.0,0.7118403695400252,0.03442685279062296,0.5037814356370864,1.0,1.0,0.8076202190593332,0.6885902370936372
48.0,0.7050823913481898,0.03442685279062296,0.4691704973108747,1.0,1.0,0.8039155391553916,0.680167114927354
49.0,0.698317208488772,0.03060164692499817,0.43815096029858547,1.0,1.0,0.7928014994435656,0.6748945016333435
50.0,0.6923037126137344,0.03060164692499817,0.407131423286296,1.0,1.0,0.7853921396356819,0.6696218883393331
51.0,0.6915520256293549,0.03060164692499817,0.4032539811597599,1.0,1.0,0.7853921396356819,0.6685673656805309
52.0,0.6862902167386963,0.022951235193748632,0.3838667705270791,1.0,1.0,0.7816874597317403,0.6632947523865208
53.0,0.6802568961519827,0.022951235193748632,0.3518778729831561,1.0,1.0,0.7816874597317403,0.6558895478144225
54.0,0.6757218501776358,0.019126029328123864,0.3314198571120426,1.0,1.0,0.7704670655729116,0.6527107616376157
55.0,0.671942645199014,0.019126029328123864,0.31096184124092874,1.0,1.0,0.7667269341866354,0.6495319754608094
56.0,0.6696751222118408,0.015300823462499091,0.30277863489248336,1.0,1.0,0.7629868028003587,0.6474127846762718
57.0,0.6666414863241314,0.015300823462499091,0.2857206836309349,1.0,1.0,0.7592282471215396,0.6463497094961795
58.0,0.6636009322245914,0.015300823462499091,0.2681378723305698,1.0,1.0,0.7592282471215396,0.6420904033380499
59.0,0.6605498934557424,0.015300823462499091,0.24964560527328922,1.0,1.0,0.7592282471215396,0.6378098006491297
60.0,0.6567050163110646,0.015300823462499091,0.22308756215910958,1.0,1.0,0.7554509921607356,0.6345721874478649
61.0,0.651303212416614,0.015300823462499091,0.18304620484850018,1.0,1.0,0.7478964822391285,0.6302332323200158
62.0,0.6482054563528012,0.015300823462499091,0.15779845245560356,1.0,1.0,0.7441000533952747,0.6269677751577358
