times,population,R0,R1,R2,R3,R4,R5,R6,R7
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9701046337817638,0.9130434782608692,0.849056603773585,1.0,0.9710144927536234,0.9705882352941171,1.0,1.0,0.9675392670157066
2.0,0.9499097030862298,0.8695652173913039,0.7467149595687335,1.0,0.9419204255550125,0.9411764705882347,1.0,1.0,0.9455259142450357
3.0,0.9386902971442661,0.8385093167701864,0.6898584905660379,1.0,0.9237366335558814,0.9154411764705876,1.0,1.0,0.9318986006250959
4.0,0.9274708912023034,0.8198757763975152,0.6330020215633428,1.0,0.8982793247570975,0.9044117647058817,1.0,1.0,0.9203677967928395
5.0,0.9199912872409939,0.7950310559006208,0.5950977088948788,1.0,0.880095532757966,0.8970588235294116,1.0,1.0,0.9109335027482659
6.0,0.913259643675816,0.7639751552795027,0.5609838274932615,1.0,0.8655484991586607,0.8897058823529411,1.0,1.0,0.9046439733852166
7.0,0.9087718812990306,0.7577639751552796,0.5382412398921836,1.0,0.8619117407588345,0.8860294117647053,1.0,1.0,0.8994026989160093
8.0,0.8990483961493293,0.7267080745341615,0.4889656334231807,1.0,0.8510014655593555,0.8786764705882352,1.0,1.0,0.8910166597652777
9.0,0.892316752584151,0.7142857142857143,0.45485175202156347,1.0,0.8364544319600502,0.8749999999999999,1.0,1.0,0.8847271304022285
10.0,0.8848371486228425,0.7080745341614907,0.4169474393531001,1.0,0.8255441567605714,0.8602941176470587,1.0,1.0,0.8752928363576543
11.0,0.8780998099277446,0.6832298136645965,0.3825205865624774,1.0,0.814633881561092,0.8455882352941174,1.0,1.0,0.8669067972069225
12.0,0.873608250797679,0.6832298136645965,0.3595693513687286,1.0,0.8000868479617873,0.8455882352941174,1.0,1.0,0.8627137776315567
13.0,0.8698652848559578,0.6708074534161491,0.3404433220406047,1.0,0.7964500895619608,0.8419117647058822,1.0,1.0,0.858520758056191
14.0,0.8683680984792698,0.6708074534161491,0.3327929103093552,1.0,0.7964500895619608,0.838235294117647,1.0,1.0,0.8574725031623488
15.0,0.8638765393492048,0.6521739130434779,0.3098416751156067,1.0,0.7928133311621343,0.8345588235294116,1.0,1.0,0.8543277384808248
16.0,0.8601335734074835,0.6459627329192544,0.2907156457874827,1.0,0.7891765727623082,0.8272058823529408,1.0,1.0,0.8501347189054589
17.0,0.8548934210890745,0.6335403726708071,0.2639392047281094,1.0,0.7819030559626552,0.8198529411764703,1.0,1.0,0.8438451895424098
18.0,0.8504018619590094,0.6335403726708071,0.24098796953436064,1.0,0.7709927807631765,0.8161764705882348,1.0,1.0,0.839652169967044
19.0,0.8474074892056324,0.6273291925465839,0.22568714607186163,1.0,0.7637192639635239,0.8161764705882348,1.0,1.0,0.8354591503916777
20.0,0.8406701505105342,0.6086956521739132,0.19126029328123859,1.0,0.7564457471638713,0.8051470588235292,1.0,1.0,0.8281213661347873
21.0,0.8376757777571575,0.6024844720496894,0.17595946981873953,1.0,0.7528089887640448,0.7977941176470587,1.0,1.0,0.8249766014532625
22.0,0.8294412526853716,0.5962732919254656,0.133882205296867,1.0,0.7346251967649138,0.7867647058823524,1.0,1.0,0.8155423074086888
23.0,0.8279440663086832,0.5900621118012421,0.12623179356561748,1.0,0.7346251967649138,0.7830882352941175,1.0,1.0,0.8134457976210062
24.0,0.8219553208019295,0.5900621118012421,0.09563014664061929,1.0,0.7237149215654345,0.7794117647058819,1.0,1.0,0.8071562682579567
25.0,0.8167151684835199,0.5900621118012421,0.06885370558124589,1.0,0.7128046463659554,0.7757352941176469,1.0,1.0,0.8008667388949082
26.0,0.8129722025417989,0.5838509316770185,0.04972767625312204,1.0,0.7018943711664768,0.7720588235294112,1.0,1.0,0.7977219742133836
27.0,0.8077320502233896,0.5838509316770185,0.04590247038749727,0.9773584905660375,0.6800738207675191,0.7720588235294112,1.0,1.0,0.7914324448503346
28.0,0.8024918979049803,0.5838509316770185,0.0420772645218725,0.9547169811320757,0.672800303967866,0.7536764705882352,1.0,1.0,0.7872394252749683
29.0,0.7980003387749149,0.5838509316770185,0.0420772645218725,0.9320754716981137,0.665526787168214,0.7389705882352938,1.0,1.0,0.7840946605934442
30.0,0.7920115932681616,0.5776397515527951,0.0420772645218725,0.9018867924528307,0.6509797535689085,0.7389705882352938,1.0,1.0,0.7778051312303949
31.0,0.7867714409497524,0.5652173913043476,0.0420772645218725,0.8754716981132077,0.6473429951690821,0.7316176470588232,1.0,1.0,0.7715156018673462
32.0,0.7807826954429987,0.5652173913043476,0.0420772645218725,0.8452830188679245,0.6400694783694293,0.7242647058823526,1.0,1.0,0.7641778176104556
33.0,0.7777883226896217,0.5590062111801242,0.0420772645218725,0.8301886792452835,0.632795961569777,0.7205882352941171,1.0,1.0,0.7610330529289308
34.0,0.7732967635595566,0.5527950310559004,0.0420772645218725,0.8075471698113207,0.6255224447701242,0.716911764705882,1.0,1.0,0.7557917784597236
35.0,0.7680566112411471,0.5527950310559004,0.0420772645218725,0.781132075471698,0.6146121695706455,0.7132352941176469,1.0,1.0,0.7495022490966743
36.0,0.7643099936253362,0.5527950310559004,0.03825205865624773,0.7659644623557429,0.6146121695706455,0.7095397744590061,1.0,1.0,0.7453033569448725
37.0,0.7598140524863641,0.5465838509316772,0.03825205865624773,0.7432130426818093,0.60006513597134,0.7058442548003655,1.0,1.0,0.74005474175512
38.0,0.7553181113473915,0.5465838509316772,0.03825205865624773,0.7204616230078768,0.5927916191716877,0.7021487351417248,1.0,1.0,0.7348061265653669
39.0,0.7508221702084186,0.5403726708074533,0.03825205865624773,0.697710203333944,0.5782445855723825,0.7021487351417248,1.0,1.0,0.7316569574515157
40.0,0.7470755525926082,0.5341614906832295,0.03825205865624773,0.6787506869389995,0.5709710687727296,0.7021487351417248,1.0,1.0,0.7274580652997135
41.0,0.7448275820231222,0.5341614906832295,0.03825205865624773,0.6673749771020329,0.5636975519730772,0.7021487351417248,1.0,1.0,0.7264083422617627
42.0,0.7388329938378251,0.5279503105590062,0.03825205865624773,0.6370397508701224,0.5600607935732511,0.6873666565071624,1.0,1.0,0.7190602809961094
43.0,0.7335877291756905,0.5217391304347824,0.03825205865624773,0.6104964279172008,0.5491505183737719,0.6762800975312405,1.0,1.0,0.7127619427684062
44.0,0.7283424645135558,0.5031055900621119,0.03442685279062296,0.5877450082432679,0.5382402431742929,0.6651935385553183,1.0,1.0,0.7075133275786534
45.0,0.7245919883832075,0.4968944099378879,0.03442685279062296,0.5686623781054994,0.5382402431742929,0.6578024992380368,1.0,1.0,0.7022569135550376
46.0,0.7140906552182334,0.47826086956521746,0.03442685279062296,0.5152310137197478,0.5309667263746404,0.6430204206034743,1.0,1.0,0.6917440855078067
