id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(edema={'1.0'}),complement,1.000000,0.000000,590.705882,1979.166667,2070.301158,17,276,259
R1,"(sb={'[2.00,4.00]'})",complement,1.000000,0.000000,1170.919355,1979.166667,2213.331776,62,276,214
R2,"(uc={'[152.00,588.00]'}) & (hp={'yes'})",complement,1.000000,0.000000,1100.153846,1979.166667,2123.814346,39,276,237
R3,(hp={'yes'}),complement,1.000000,0.000000,1697.619718,1979.166667,2277.522388,142,276,134
R4,"(ptb={'[10.00,10.00]'}) & (spiders={'yes'})",complement,1.000000,0.000000,1283.204545,1979.166667,2111.159483,44,276,232
R5,"(ptb={'[10.00,10.00]'})",complement,1.000000,0.000000,1802.724490,1979.166667,2076.308989,98,276,178
R6,"(age={'[21483.00,28650.00]'}) & (ptb={'[10.00,10.00]'})",complement,1.000000,0.000000,1322.517241,1979.166667,2056.263158,29,276,247
R7,"(sb={'[1.00,2.00)'})",complement,0.999891,0.000109,1585.785714,1979.166667,2079.300000,56,276,220
R8,"(ptb={'[9.00,9.00)'})",complement,0.985610,0.014390,1884.500000,1979.166667,2006.593458,62,276,214
R9,"(sb={'[0.00,1.00)'})",complement,0.995090,0.004910,2296.814286,1979.166667,1871.228155,70,276,206
R10,(ascites={'no'}),complement,1.000000,0.000000,2078.630350,1979.166667,633.789474,257,276,19
