id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(ascites={'yes'}),complement,1.000000,0.000000,633.789474,1979.166667,2078.630350,19,276,257
R1,"(sb={'[2.00,4.00]'})",complement,1.000000,0.000000,1170.919355,1979.166667,2213.331776,62,276,214
R2,"(uc={'[152.00,588.00]'})",complement,1.000000,0.000000,1370.087719,1979.166667,2137.694064,57,276,219
R3,(hist-stage={'4'}),complement,1.000000,0.000000,1456.585106,1979.166667,2249.071429,94,276,182
R4,"(ptb={'[10.00,10.00]'}) & (spiders={'yes'})",complement,1.000000,0.000000,1283.204545,1979.166667,2111.159483,44,276,232
R5,(spiders={'yes'}),complement,1.000000,0.000000,1526.237500,1979.166667,2164.035714,80,276,196
R6,"(ptb={'[10.00,10.00]'})",complement,1.000000,0.000000,1802.724490,1979.166667,2076.308989,98,276,178
R7,(hp={'yes'}),complement,1.000000,0.000000,1697.619718,1979.166667,2277.522388,142,276,134
R8,"(sb={'[0.00,1.00)'})",complement,0.995090,0.004910,2296.814286,1979.166667,1871.228155,70,276,206
R9,"(albumin={'[3.00,3.00]'}) & (sb={'[0.00,0.00)'})",complement,1.000000,0.000000,2601.214286,1979.166667,1707.020833,84,276,192
