id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(er={'positive'}) & (size={'[1.00,2.00)'})",population,0.997582,0.002418,4756.727273,3935.316327,3697.539474,44,196,152
R1,"(X214806_at={'[7.00,7.00)'}) & (X204015_s_at={'[10.00,12.00]'})",population,0.961880,0.038120,4746.666667,3935.316327,3837.954286,21,196,175
R2,"(X202240_at={'[6.00,7.00)'})",population,0.974525,0.025475,4778.021739,3935.316327,3676.886667,46,196,150
R3,"(X211040_x_at={'[9.00,10.00]'}) & (X201663_s_at={'[9.00,9.00)'})",population,0.974494,0.025506,2691.666667,3935.316327,4134.005917,27,196,169
R4,"(X203306_s_at={'[9.00,10.00]'}) & (X202418_at={'[10.00,10.00)'}) & (X209835_x_at={'[10.00,10.00)'})",population,0.980425,0.019575,4690.774194,3935.316327,3793.381818,31,196,165
R5,"(X221928_at={'[6.00,7.00]'}) & (X216103_at={'[5.00,5.00)'})",population,0.955708,0.044292,4242.020833,3935.316327,3835.844595,48,196,148
R6,"(X202418_at={'[10.00,10.00)'}) & (X200726_at={'[11.00,11.00)'}) & (er={'positive'})",population,0.979520,0.020480,4417.323944,3935.316327,3661.536000,71,196,125
R7,"(X204631_at={'[5.00,5.00)'}) & (er={'negative'})",population,0.989321,0.010679,3088.500000,3935.316327,4076.452381,28,196,168
R8,"(X204014_at={'[7.00,9.00)'}) & (X200965_s_at={'[10.00,10.00)'})",population,0.992145,0.007855,3137.387097,3935.316327,4085.230303,31,196,165
R9,"(X219588_s_at={'[8.00,8.00]'}) & (X211382_s_at={'[8.00,8.00)'}) & (X219724_s_at={'[6.00,6.00]'}) & (size={'[2.00,2.00]'})",population,0.968107,0.031893,3322.315789,3935.316327,4082.746835,38,196,158
