times,population,R0,R1,R2,R3,R4,R5,R6
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41.0,0.9963768115942037,0.9838709677419355,0.9897959183673466,0.98936170212766,1.0,1.0,1.0,1.0
51.0,0.9927536231884064,0.9677419354838706,0.9795918367346934,0.9787234042553193,1.0,1.0,1.0,1.0
71.0,0.9891304347826091,0.9516129032258066,0.9693877551020403,0.9680851063829785,1.0,1.0,1.0,1.0
77.0,0.9855072463768124,0.9354838709677415,0.9591836734693874,0.9574468085106383,1.0,1.0,1.0,1.0
110.0,0.9818840579710151,0.9354838709677415,0.9489795918367346,0.9468085106382977,1.0,1.0,1.0,1.0
131.0,0.9782608695652181,0.9193548387096774,0.9387755102040815,0.9361702127659579,1.0,1.0,1.0,1.0
140.0,0.9746376811594206,0.9193548387096774,0.9285714285714279,0.9361702127659579,1.0,1.0,1.0,1.0
179.0,0.9710144927536234,0.9032258064516132,0.9183673469387751,0.9255319148936171,1.0,1.0,1.0,1.0
186.0,0.9673913043478266,0.9032258064516132,0.9081632653061219,0.9148936170212763,1.0,1.0,1.0,0.9954337899543376
191.0,0.9637681159420294,0.9032258064516132,0.8979591836734694,0.9042553191489364,1.0,1.0,1.0,0.9954337899543376
198.0,0.9601449275362322,0.9032258064516132,0.8979591836734694,0.9042553191489364,1.0,1.0,0.9896907216494844,0.9908675799086758
216.0,0.956521739130435,0.8870967741935485,0.887755102040816,0.8936170212765956,1.0,1.0,0.9896907216494844,0.9908675799086758
223.0,0.9528985507246382,0.8709677419354839,0.8775510204081626,0.8829787234042556,1.0,1.0,0.9896907216494844,0.9908675799086758
264.0,0.9492753623188407,0.8548387096774194,0.8673469387755101,0.8723404255319152,1.0,1.0,0.9896907216494844,0.9908675799086758
304.0,0.9456521739130441,0.8548387096774194,0.8571428571428567,0.8617021276595749,1.0,1.0,0.9896907216494844,0.9863013698630139
321.0,0.9420289855072467,0.8548387096774194,0.846938775510204,0.8510638297872337,1.0,1.0,0.9896907216494844,0.9863013698630139
326.0,0.9384057971014493,0.8387096774193549,0.8367346938775508,0.8510638297872337,1.0,1.0,0.9896907216494844,0.9863013698630139
334.0,0.9347826086956524,0.8225806451612901,0.826530612244898,0.8404255319148937,1.0,1.0,0.9896907216494844,0.9863013698630139
348.0,0.9311594202898558,0.8064516129032256,0.8163265306122442,0.8297872340425532,1.0,1.0,0.9896907216494844,0.9863013698630139
388.0,0.9275362318840582,0.8064516129032256,0.8061224489795915,0.819148936170213,0.9818181818181817,1.0,0.9896907216494844,0.9863013698630139
400.0,0.923913043478261,0.790322580645161,0.7959183673469384,0.8085106382978724,0.9818181818181817,1.0,0.9896907216494844,0.9863013698630139
460.0,0.9202898550724642,0.7741935483870969,0.7857142857142856,0.7978723404255317,0.9818181818181817,1.0,0.9896907216494844,0.9863013698630139
515.0,0.9166666666666672,0.7741935483870969,0.7857142857142856,0.7978723404255317,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9817351598173512
533.0,0.9166666666666672,0.7741935483870969,0.7857142857142856,0.7978723404255317,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9817351598173512
549.0,0.9130291005291006,0.758064516129032,0.7753759398496237,0.7870902817711322,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9817351598173512
552.0,0.9093915343915344,0.758064516129032,0.7650375939849626,0.7763082231167332,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9771476123415698
597.0,0.9057539682539685,0.7419354838709677,0.7546992481203005,0.7763082231167332,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9725600648657873
611.0,0.9021164021164028,0.7419354838709677,0.744360902255639,0.7763082231167332,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9725600648657873
673.0,0.8984788359788366,0.7419354838709677,0.7340225563909774,0.7655261644623341,0.9818181818181817,0.9886363636363632,0.9896907216494844,0.9679725173900056
694.0,0.89484126984127,0.7419354838709677,0.723684210526316,0.7547441058079354,0.9818181818181817,0.9772727272727265,0.9896907216494844,0.9679725173900056
732.0,0.89484126984127,0.7419354838709677,0.723684210526316,0.7547441058079354,0.9818181818181817,0.9772727272727265,0.9896907216494844,0.9679725173900056
733.0,0.8911888564949789,0.7254480286738351,0.7133458646616543,0.7547441058079354,0.9818181818181817,0.9772727272727265,0.9896907216494844,0.9633849699142232
