Rules:
r1: IF los = {[3.00,34.80)} THEN survival_status = {NaN}(p=115.0, n=0.0, P=575.0, N=0.0, weight=1.0)
r2: IF los = {[173.00,400.00]} THEN survival_status = {NaN}(p=116.0, n=0.0, P=575.0, N=0.0, weight=0.9999999999999991)
r3: IF race = {0} AND beck = {[25.00,54.00]} AND ivhx = {3} AND hercoc = {1} THEN survival_status = {NaN}(p=23.0, n=0.0, P=575.0, N=0.0, weight=0.9999967668878892)
r4: IF los = {[34.80,76.00)} AND beck = {[25.00,54.00]} THEN survival_status = {NaN}(p=25.0, n=0.0, P=575.0, N=0.0, weight=0.9999999994195593)
r5: IF los = {[34.80,76.00)} THEN survival_status = {NaN}(p=113.0, n=0.0, P=575.0, N=0.0, weight=0.999999973663174)
r6: IF site = {0} AND race = {0} AND beck = {[25.00,54.00]} AND ivhx = {3} THEN survival_status = {NaN}(p=47.0, n=0.0, P=575.0, N=0.0, weight=0.9999874615062867)
r7: IF treatment = {0} AND race = {0} AND ndrugtx = {[4.00,7.00)} THEN survival_status = {NaN}(p=55.0, n=0.0, P=575.0, N=0.0, weight=0.9999975986225292)
r8: IF treatment = {0} AND site = {0} AND race = {0} THEN survival_status = {NaN}(p=149.0, n=0.0, P=575.0, N=0.0, weight=0.9999969433819009)
r9: IF race = {0} AND ivhx = {3} THEN survival_status = {NaN}(p=204.0, n=0.0, P=575.0, N=0.0, weight=0.9999766730016857)
r10: IF site = {0} AND race = {1} THEN survival_status = {NaN}(p=110.0, n=0.0, P=575.0, N=0.0, weight=0.9992822990657941)
r11: IF ivhx = {1} THEN survival_status = {NaN}(p=223.0, n=0.0, P=575.0, N=0.0, weight=0.9989906678596646)
r12: IF race = {0} AND ndrugtx = {[7.00,40.00]} THEN survival_status = {NaN}(p=99.0, n=0.0, P=575.0, N=0.0, weight=0.9994916874904994)
r13: IF site = {0} AND race = {0} THEN survival_status = {NaN}(p=290.0, n=0.0, P=575.0, N=0.0, weight=0.9998836393103954)
r14: IF race = {0} THEN survival_status = {NaN}(p=430.0, n=0.0, P=575.0, N=0.0, weight=0.9935894644127649)
General information:
voting: true

Estimator:
time, entire-set, r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, 
4.0, 0.9965217391304347, 0.9826086956521739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9950980392156863,1.0,0.9955156950672646,0.98989898989899,0.993103448275862,0.9953488372093023,
6.0, 0.9930434782608696, 0.9652173913043478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9950980392156863,0.990909090909091,0.9955156950672646,0.98989898989899,0.993103448275862,0.9953488372093023,
7.0, 0.9860869565217392, 0.9304347826086957,1.0,1.0,1.0,1.0,1.0,1.0,0.9932885906040269,0.9803921568627452,0.990909090909091,0.9910313901345292,0.9696969696969697,0.9862068965517241,0.986046511627907,
8.0, 0.9843478260869565, 0.9217391304347827,1.0,1.0,1.0,1.0,1.0,0.9818181818181818,0.9865771812080537,0.9803921568627452,0.990909090909091,0.9865470852017938,0.9696969696969697,0.9827586206896551,0.9837209302325581,
9.0, 0.9826086956521739, 0.9130434782608697,1.0,1.0,1.0,1.0,1.0,0.9818181818181818,0.9865771812080537,0.9803921568627452,0.990909090909091,0.9820627802690584,0.9696969696969697,0.9827586206896551,0.9813953488372092,
10.0, 0.9773913043478261, 0.8869565217391306,1.0,1.0,1.0,1.0,1.0,0.9636363636363636,0.9798657718120806,0.9705882352941178,0.990909090909091,0.9820627802690584,0.9696969696969697,0.9793103448275862,0.9744186046511627,
11.0, 0.9739130434782609, 0.8695652173913045,1.0,1.0,1.0,1.0,0.9787234042553191,0.9454545454545454,0.9731543624161074,0.965686274509804,0.9818181818181819,0.9775784753363229,0.9696969696969697,0.9758620689655172,0.9720930232558138,
12.0, 0.9704347826086958, 0.8521739130434784,1.0,1.0,1.0,1.0,0.9787234042553191,0.9454545454545454,0.9731543624161074,0.965686274509804,0.9818181818181819,0.9686098654708521,0.9696969696969697,0.9758620689655172,0.9674418604651162,
14.0, 0.9634782608695653, 0.8173913043478263,1.0,0.9565217391304348,1.0,1.0,0.9361702127659575,0.9454545454545454,0.9664429530201343,0.9558823529411765,0.9818181818181819,0.9686098654708521,0.9595959595959597,0.9655172413793104,0.9604651162790697,
15.0, 0.9600000000000001, 0.8000000000000002,1.0,0.9565217391304348,1.0,1.0,0.9361702127659575,0.9454545454545454,0.9597315436241611,0.9558823529411765,0.9727272727272728,0.9596412556053813,0.9494949494949495,0.9620689655172414,0.9581395348837208,
18.0, 0.9582608695652175, 0.791304347826087,1.0,0.9565217391304348,1.0,1.0,0.9361702127659575,0.9272727272727272,0.9597315436241611,0.9509803921568628,0.9727272727272728,0.9596412556053813,0.9494949494949495,0.9620689655172414,0.955813953488372,
19.0, 0.9547826086956522, 0.773913043478261,1.0,0.9130434782608696,1.0,1.0,0.9148936170212766,0.9272727272727272,0.9597315436241611,0.9460784313725491,0.9727272727272728,0.9596412556053813,0.9393939393939394,0.9551724137931035,0.9511627906976743,
20.0, 0.9530434782608695, 0.7652173913043478,1.0,0.9130434782608696,1.0,1.0,0.9148936170212766,0.9272727272727272,0.953020134228188,0.9460784313725491,0.9727272727272728,0.9551569506726459,0.9292929292929294,0.9517241379310345,0.9488372093023255,
21.0, 0.9495652173913043, 0.7478260869565218,1.0,0.8695652173913043,1.0,1.0,0.8723404255319149,0.9272727272727272,0.9463087248322148,0.9362745098039216,0.9727272727272728,0.9551569506726459,0.9191919191919192,0.9448275862068966,0.9441860465116279,
22.0, 0.9460869565217391, 0.7304347826086957,1.0,0.8695652173913043,1.0,1.0,0.8723404255319149,0.9272727272727272,0.9463087248322148,0.9313725490196079,0.9727272727272728,0.9551569506726459,0.9090909090909092,0.9379310344827586,0.9395348837209302,
23.0, 0.9373913043478261, 0.6869565217391305,1.0,0.782608695652174,1.0,1.0,0.8297872340425532,0.9090909090909091,0.9194630872483222,0.9166666666666666,0.9636363636363637,0.9506726457399105,0.8989898989898991,0.9241379310344828,0.9302325581395349,
24.0, 0.933913043478261, 0.6695652173913044,1.0,0.782608695652174,1.0,1.0,0.8297872340425532,0.9090909090909091,0.9194630872483222,0.9166666666666666,0.9636363636363637,0.9461883408071751,0.8989898989898991,0.9206896551724139,0.9279069767441861,
25.0, 0.9321739130434783, 0.6608695652173914,1.0,0.782608695652174,1.0,1.0,0.8085106382978723,0.8909090909090909,0.912751677852349,0.9117647058823529,0.9636363636363637,0.9461883408071751,0.8989898989898991,0.9172413793103449,0.9255813953488372,
26.0, 0.9252173913043479, 0.6260869565217392,1.0,0.782608695652174,1.0,1.0,0.8085106382978723,0.8909090909090909,0.8926174496644295,0.8970588235294118,0.9636363636363637,0.9461883408071751,0.8787878787878789,0.903448275862069,0.9162790697674418,
28.0, 0.9234782608695653, 0.6173913043478262,1.0,0.7391304347826088,1.0,1.0,0.7872340425531915,0.8909090909090909,0.8859060402684562,0.8921568627450981,0.9636363636363637,0.9461883408071751,0.8686868686868688,0.9,0.913953488372093,
29.0, 0.9217391304347827, 0.6086956521739132,1.0,0.7391304347826088,1.0,1.0,0.7872340425531915,0.8727272727272727,0.8859060402684562,0.8872549019607844,0.9636363636363637,0.9461883408071751,0.8686868686868688,0.9,0.9116279069767442,
30.0, 0.9182608695652175, 0.5913043478260871,1.0,0.7391304347826088,1.0,1.0,0.7659574468085107,0.8727272727272727,0.8791946308724831,0.877450980392157,0.9636363636363637,0.9461883408071751,0.8585858585858587,0.8931034482758621,0.9069767441860466,
31.0, 0.9147826086956522, 0.573913043478261,1.0,0.7391304347826088,1.0,1.0,0.7659574468085107,0.8545454545454545,0.8724832214765099,0.8676470588235295,0.9636363636363637,0.9461883408071751,0.8585858585858587,0.8896551724137931,0.9023255813953489,
32.0, 0.9113043478260869, 0.5565217391304349,1.0,0.7391304347826088,1.0,1.0,0.7446808510638299,0.8545454545454545,0.8657718120805368,0.8578431372549021,0.9636363636363637,0.9461883408071751,0.8484848484848486,0.8827586206896552,0.8976744186046512,
33.0, 0.9095652173913044, 0.5478260869565219,1.0,0.7391304347826088,1.0,1.0,0.7446808510638299,0.8545454545454545,0.8657718120805368,0.8578431372549021,0.9636363636363637,0.9417040358744396,0.8484848484848486,0.8827586206896552,0.8953488372093024,
34.0, 0.9078260869565218, 0.5391304347826088,1.0,0.7391304347826088,1.0,1.0,0.7446808510638299,0.8545454545454545,0.8657718120805368,0.8529411764705884,0.9636363636363637,0.9417040358744396,0.8484848484848486,0.8827586206896552,0.8930232558139535,
35.0, 0.9026086956521739, 0.5130434782608697,1.0,0.7391304347826088,1.0,1.0,0.7446808510638299,0.8545454545454545,0.8590604026845636,0.8480392156862746,0.9545454545454547,0.9372197309417042,0.8484848484848486,0.8793103448275862,0.8883720930232558,
36.0, 0.8973913043478261, 0.5130434782608697,1.0,0.7391304347826088,0.96,0.9734513274336283,0.723404255319149,0.8363636363636363,0.8523489932885905,0.8431372549019608,0.9545454545454547,0.9327354260089687,0.8383838383838386,0.8724137931034482,0.8813953488372093,
37.0, 0.8939130434782608, 0.5043478260869567,1.0,0.7391304347826088,0.96,0.9646017699115045,0.723404255319149,0.8363636363636363,0.8523489932885905,0.8382352941176471,0.9454545454545457,0.9282511210762333,0.8383838383838386,0.8689655172413793,0.8790697674418604,
38.0, 0.8904347826086957, 0.49565217391304367,1.0,0.6956521739130436,0.92,0.9557522123893807,0.7021276595744681,0.8363636363636363,0.8456375838926173,0.8333333333333333,0.9363636363636366,0.9282511210762333,0.8282828282828284,0.8655172413793103,0.8767441860465115,
40.0, 0.8886956521739131, 0.4869565217391306,1.0,0.6956521739130436,0.92,0.9557522123893807,0.7021276595744681,0.8363636363636363,0.8456375838926173,0.8333333333333333,0.9363636363636366,0.9237668161434979,0.8282828282828284,0.8620689655172413,0.8744186046511626,
43.0, 0.8869565217391304, 0.4869565217391306,1.0,0.6521739130434784,0.8800000000000001,0.9469026548672568,0.6808510638297872,0.8363636363636363,0.8389261744966442,0.8284313725490196,0.9363636363636366,0.9237668161434979,0.8181818181818182,0.8586206896551724,0.8720930232558138,
44.0, 0.88, 0.4695652173913045,1.0,0.6521739130434784,0.8800000000000001,0.929203539823009,0.6808510638297872,0.8181818181818181,0.832214765100671,0.8235294117647058,0.9272727272727276,0.914798206278027,0.8080808080808081,0.8551724137931034,0.8651162790697673,
45.0, 0.8747826086956522, 0.4608695652173915,1.0,0.6521739130434784,0.8800000000000001,0.9115044247787611,0.6808510638297872,0.8181818181818181,0.832214765100671,0.8186274509803921,0.9272727272727276,0.9058295964125562,0.797979797979798,0.8482758620689654,0.8581395348837207,
46.0, 0.8695652173913043, 0.4608695652173915,1.0,0.6086956521739132,0.8400000000000002,0.8849557522123894,0.6595744680851063,0.7818181818181817,0.8187919463087248,0.8088235294117647,0.9272727272727276,0.9058295964125562,0.797979797979798,0.8413793103448275,0.8511627906976742,
47.0, 0.8643478260869565, 0.4521739130434784,1.0,0.565217391304348,0.8000000000000002,0.8672566371681416,0.6170212765957446,0.7818181818181817,0.8120805369127516,0.7990196078431373,0.9272727272727276,0.9058295964125562,0.7777777777777778,0.8344827586206895,0.8441860465116277,
48.0, 0.8626086956521739, 0.4521739130434784,1.0,0.565217391304348,0.8000000000000002,0.8584070796460177,0.6170212765957446,0.7818181818181817,0.8120805369127516,0.7990196078431373,0.9272727272727276,0.9013452914798208,0.7777777777777778,0.8344827586206895,0.8441860465116277,
50.0, 0.8608695652173912, 0.4521739130434784,1.0,0.565217391304348,0.8000000000000002,0.8495575221238938,0.6170212765957446,0.7818181818181817,0.8120805369127516,0.7990196078431373,0.9272727272727276,0.8968609865470853,0.7777777777777778,0.8344827586206895,0.8418604651162788,
51.0, 0.8539130434782607, 0.4434782608695654,1.0,0.565217391304348,0.7600000000000001,0.8230088495575221,0.6170212765957446,0.7818181818181817,0.8120805369127516,0.7990196078431373,0.9272727272727276,0.883408071748879,0.7676767676767677,0.8275862068965516,0.8348837209302322,
52.0, 0.852173913043478, 0.4434782608695654,1.0,0.565217391304348,0.7600000000000001,0.8141592920353982,0.6170212765957446,0.7818181818181817,0.8120805369127516,0.7941176470588236,0.9272727272727276,0.883408071748879,0.7676767676767677,0.8275862068965516,0.8325581395348834,
53.0, 0.8486956521739127, 0.4434782608695654,1.0,0.565217391304348,0.7200000000000001,0.7964601769911503,0.6170212765957446,0.7818181818181817,0.8053691275167785,0.7941176470588236,0.9181818181818185,0.883408071748879,0.7676767676767677,0.8241379310344826,0.8302325581395346,
