,num_rules,length,rule_coverage,set_coverage,cr
actg320,3.0,3.3333333333333335,0.09817549956559514,0.09817549956559514,0.9018245004344069
breast-cancer,9.0,5.666666666666667,0.05272108843537415,0.05612244897959184,0.9438775510204082
cancer,6.0,1.8333333333333333,0.13690476190476192,0.2976190476190476,0.702380952380953
carcinoma,5.0,1.8,0.26528497409326424,0.9585492227979274,0.41377914507772023
gbsg2,7.0,1.8571428571428572,0.09995835068721366,0.20845481049562684,0.7915451895043737
lung,6.0,1.0,0.35368109507954126,0.9378468368479467,0.30183571020576927
melanoma,3.0,1.3333333333333333,0.3951219512195122,1.0,0.25478269597510905
mgus2,7.0,1.1428571428571428,0.16602605167627588,0.7563527653213752,0.3544110084158906
mgus,7.0,3.0,0.11201298701298702,0.2215909090909091,0.7784090909090907
pbc,8.0,1.5,0.19882246376811594,1.0,0.5569476082004569
ptc,4.0,1.75,0.06325301204819277,0.07530120481927711,0.9246987951807228
uis,8.0,2.625,0.10282608695652173,0.2,0.8000000000000007
veteran,6.0,2.0,0.09610705596107055,0.22627737226277372,0.7737226277372263
whas500,5.0,1.4,0.502,1.0,0.31137848605577595
