,num_rules,length,rule_coverage,set_coverage,ibs,cr,h
actg320,4.0,4.0,0.18592528236316247,0.18592528236316247,0.0,0.8140747176368355,0.6928692138954767
breast-cancer,10.0,4.7,0.10255102040816327,0.32653061224489793,0.0,0.6760077165194435,0.38409018197903894
cancer,4.0,2.0,0.21428571428571427,0.39880952380952384,0.0,0.6011904761904757,0.5922419439415507
carcinoma,6.0,2.0,0.19861830742659758,0.46632124352331605,0.0,0.5336787564766852,0.4834897437240455
gbsg2,6.0,1.6666666666666667,0.20165208940719145,0.5641399416909622,0.0,0.5167901928413339,0.6111111242176268
lung,4.0,2.5,0.3263041065482797,0.3263041065482797,0.0,0.6736958934517185,0.911105646447179
melanoma,3.0,2.0,0.11056910569105692,0.22439024390243903,0.0,0.7756097560975601,0.2843363216153825
mgus2,6.0,2.0,0.16604384653712007,0.20104633781763825,0.0,0.7989536621823666,0.6458613913786835
mgus,4.0,1.75,0.13352272727272727,0.17045454545454544,0.0,0.829545454545455,0.5141574117993102
pbc,7.0,4.714285714285714,0.19875776397515527,0.19927536231884058,0.0,0.8007246376811594,0.7172240393900826
ptc,6.0,2.6666666666666665,0.11947791164658633,0.12349397590361445,0.0,0.8765060240963864,0.5194711872506312
uis,7.0,2.142857142857143,0.14708074534161492,0.20173913043478262,0.0,0.7986603995299659,0.609017094463886
veteran,4.0,2.0,0.12773722627737227,0.25547445255474455,0.0,0.744525547445255,0.31687509183124946
whas500,6.0,2.6666666666666665,0.10466666666666667,0.106,0.0,0.8940000000000013,0.48411385246820315
