Dataset,expID,num_rules,length,rule_coverage,set_coverage,cr
actg320,0,5,1.4,0.3760208514335361,1.0,0.29038560056271284
actg320,1,4,1.0,0.42441355343179843,1.0,0.32990403965400356
actg320,2,5,1.6,0.30842745438748914,1.0,0.410497179427565
actg320,3,3,1.0,0.44801621778163914,1.0,0.33581995252154656
actg320,4,6,1.3333333333333333,0.3690993339125398,1.0,0.4314633871172853
actg320,5,3,1.0,0.44801621778163914,1.0,0.33581995252154623
actg320,6,4,1.25,0.4554735013032146,1.0,0.30806327520139093
actg320,7,2,1.0,0.5,1.0,0.0
actg320,8,4,1.75,0.32232841007819285,1.0,0.3630067373735716
actg320,9,3,1.0,0.3996524761077324,1.0,0.26585325929563763
actg320,10,7,1.7142857142857142,0.32183194737495346,1.0,0.3366063079004033
actg320,11,7,1.5714285714285714,0.3050763311406231,1.0,0.5045487031830683
actg320,12,3,1.3333333333333333,0.3970460469157255,1.0,0.2595909686879933
actg320,13,3,1.3333333333333333,0.366637706342311,1.0,0.16352289306777346
actg320,14,3,1.0,0.44801621778163914,1.0,0.3358199525215512
actg320,15,3,1.0,0.3996524761077324,1.0,0.26585325929563836
actg320,16,2,1.0,0.5,1.0,0.0
actg320,17,4,1.25,0.42224152910512597,1.0,0.2537550099573468
actg320,18,3,1.3333333333333333,0.39675644367216917,1.0,0.25887739636114204
actg320,19,3,1.6666666666666667,0.43672169128294236,1.0,0.3266194544243608
actg320,20,7,1.7142857142857142,0.2859625170659054,1.0,0.6323298279274185
actg320,21,3,1.3333333333333333,0.3970460469157255,1.0,0.25959096868799403
actg320,22,3,1.3333333333333333,0.4410657399362873,1.0,0.3306246017480055
actg320,23,6,1.6666666666666667,0.2797567332754127,1.0,0.5724745607834156
actg320,24,7,1.4285714285714286,0.3210872533200943,1.0,0.4967791574325683
actg320,25,2,1.0,0.5,1.0,0.0
actg320,26,5,1.2,0.40677671589921804,1.0,0.2112992769320798
actg320,27,2,1.0,0.5,1.0,0.0
actg320,28,5,2.0,0.3197219808861859,1.0,0.48734654175953956
actg320,29,3,1.3333333333333333,0.4410657399362873,1.0,0.3306246017480059
breast-cancer,0,19,1.4210526315789473,0.30934479054779807,1.0,0.3269557823129255
breast-cancer,1,13,1.3846153846153846,0.32535321821036106,0.9744897959183674,0.3893121784298768
breast-cancer,2,14,1.3571428571428572,0.3502186588921283,1.0,0.40203656905009705
breast-cancer,3,15,1.2666666666666666,0.33639455782312927,1.0,0.3950908978353721
breast-cancer,4,24,1.4583333333333333,0.3169642857142857,1.0,0.3529749928140267
breast-cancer,5,10,1.3,0.3556122448979592,1.0,0.3502474160395866
breast-cancer,6,9,1.1111111111111112,0.3537414965986394,1.0,0.31743851386708455
breast-cancer,7,17,1.588235294117647,0.30012004801920766,0.9438775510204082,0.45514285714285796
breast-cancer,8,16,1.5625,0.31345663265306123,1.0,0.36586251998256103
breast-cancer,9,10,1.0,0.40510204081632656,1.0,0.29792319950650276
breast-cancer,10,14,1.2142857142857142,0.37244897959183676,1.0,0.30835896002236496
breast-cancer,11,15,1.3333333333333333,0.33639455782312927,1.0,0.40125049008480995
breast-cancer,12,10,1.3,0.351530612244898,1.0,0.3745890228370008
breast-cancer,13,13,1.2307692307692308,0.3449764521193093,1.0,0.40476190476190493
breast-cancer,14,13,1.3076923076923077,0.30612244897959184,1.0,0.34447933019361554
breast-cancer,15,12,1.25,0.3380102040816326,1.0,0.35532024130406836
breast-cancer,16,15,1.5333333333333334,0.3435374149659864,1.0,0.41505354617094425
breast-cancer,17,18,1.5,0.26558956916099774,0.9693877551020408,0.44883801973297327
breast-cancer,18,19,1.4736842105263157,0.30719656283566055,1.0,0.4239688882546028
breast-cancer,19,21,1.5238095238095237,0.2852283770651118,0.9897959183673469,0.3834613913708584
breast-cancer,20,10,1.4,0.2612244897959184,0.9693877551020408,0.5376275510204082
breast-cancer,21,21,1.619047619047619,0.2755102040816326,0.9795918367346939,0.4554043839758122
breast-cancer,22,12,1.5833333333333333,0.24829931972789115,0.8979591836734694,0.4907045009784732
breast-cancer,23,14,1.3571428571428572,0.36552478134110783,1.0,0.37210816530001817
breast-cancer,24,8,1.125,0.4030612244897959,1.0,0.32427021441488024
breast-cancer,25,22,1.4090909090909092,0.3056586270871985,1.0,0.3356198321513733
breast-cancer,26,15,1.2666666666666666,0.3585034013605442,1.0,0.3833404329473718
breast-cancer,27,15,1.4,0.35068027210884356,1.0,0.33502246679467196
breast-cancer,28,16,1.3125,0.35331632653061223,1.0,0.34892801886097397
