Dataset,expID,num_rules,length,rule_coverage,rule_coverageSTD,set_coverage,ibs,cr,h,run_time
actg320,0,6,1.8333333333333333,0.3211699971039676,0.15757477215837226,1.0,0,0.5976729373994929,0.0,6.297169
actg320,1,11,1.5454545454545454,0.3017139246505015,0.12326697604748231,1.0,0,0.3512529509964005,0.0,14.60392
actg320,2,3,1.0,0.3996524761077324,0.17180039659909424,1.0,0,0.26585325929563763,0.0,2.181212
actg320,3,12,1.5833333333333333,0.27555748624384596,0.12847755944052988,1.0,0,0.425842318566919,0.0,32.888196
actg320,4,7,1.4285714285714286,0.2797567332754127,0.15326904045533724,1.0,0,0.5008314208469492,0.0,20.061428
actg320,5,3,1.3333333333333333,0.43614248479582973,0.13240728705433596,1.0,0,0.3260401775464094,0.0,2.506346
actg320,6,14,1.9285714285714286,0.25964999379421616,0.13045083030596247,1.0,0,0.5934327619345234,0.0,25.171424
actg320,7,7,1.0,0.3004840511356584,0.15116963226246044,1.0,0,0.25405848262972597,0.0,12.206376
actg320,8,11,1.6363636363636365,0.2611168154174236,0.13771779738432754,1.0,0,0.44107467506357384,0.0,17.850335
actg320,9,4,1.0,0.35056472632493485,0.17136322166649465,1.0,0,0.3429419167859065,0.0,3.199441
actg320,10,10,1.7,0.24491746307558643,0.1409730197793618,1.0,0,0.4410070796127464,0.0,16.713116
actg320,11,8,1.25,0.27617289313640314,0.1516598391277902,1.0,0,0.29750054065726006,0.0,11.937038
actg320,12,18,1.8333333333333333,0.22849695916594265,0.07608908443374914,0.9435273675065161,0,0.4938425358526202,0.2341527192282758,59.230139
actg320,13,5,1.2,0.3176368375325804,0.1667531754503633,1.0,0,0.37903773143703046,0.0,6.379958
actg320,14,13,1.6153846153846154,0.2730067499832921,0.1272617055009262,1.0,0,0.5245734909881014,0.0,41.567473
actg320,15,16,1.625,0.2657471763683753,0.12164339779563599,1.0,0,0.38999331439018076,0.0,57.424048
actg320,16,12,1.75,0.2761366927309586,0.1286121287855454,1.0,0,0.4032908161754486,0.0,35.167822
actg320,17,8,1.375,0.3060382276281494,0.14282195466776712,1.0,0,0.5285877864713571,0.0,9.472472
actg320,18,12,1.75,0.26093252244425136,0.12583319252948424,1.0,0,0.46761538246430684,0.0,29.856371
actg320,19,4,1.25,0.34730668983492613,0.17423196097518817,1.0,0,0.397259581765103,0.0,6.769392
actg320,20,9,1.3333333333333333,0.2716478424558355,0.14833850170379956,1.0,0,0.378316929686928,0.0,16.115636
actg320,21,5,1.2,0.31867940920938315,0.16600896596923106,1.0,0,0.37661622769826025,0.0,12.103707
actg320,22,10,1.4,0.2821894005212858,0.13991548848795307,1.0,0,0.36082085400144503,0.0,27.812663
actg320,23,5,1.4,0.3749782797567333,0.13773700760608582,1.0,0,0.21406054613427813,0.0,7.748291
actg320,24,11,1.4545454545454546,0.28275807598136005,0.1287744120651272,1.0,0,0.3906658771338059,0.0,25.024652
actg320,25,5,1.4,0.37046046915725456,0.1370568760408908,1.0,0,0.3701838518752704,0.0,6.193491
actg320,26,6,1.5,0.31624674196351,0.15213186685690433,1.0,0,0.3764157938788702,0.0,10.823637
actg320,27,7,1.4285714285714286,0.3022216705969964,0.14954017851246681,1.0,0,0.44336127677567266,0.0,12.918541
actg320,28,11,1.6363636363636365,0.25756259379195956,0.12973692124384223,1.0,0,0.44214449203671075,0.0,19.232359
actg320,29,11,1.8181818181818181,0.27683437327225335,0.13617241011817066,1.0,0,0.5938801587901522,0.0,26.006441
breast-cancer,0,27,1.9259259259259258,0.16723356009070295,0.04703507599249782,0.8061224489795918,0,0.5990430070333221,0.45886596206898805,189.165003
breast-cancer,1,20,1.85,0.18596938775510205,0.04886985474748621,0.8316326530612245,0,0.6104742308446015,0.43275723937231075,171.862402
breast-cancer,2,30,1.9666666666666666,0.1727891156462585,0.058183152903402716,0.8010204081632653,0,0.623413144785475,0.4634846805350278,270.566067
breast-cancer,3,24,2.0416666666666665,0.1832482993197279,0.056659395434710436,0.7704081632653061,0,0.6538069984374254,0.4873905798487195,218.815821
breast-cancer,4,10,1.8,0.16326530612244897,0.06198507162647934,0.6632653061224489,0,0.5067602040816326,0.5287797848670706,82.991
breast-cancer,5,23,1.9130434782608696,0.17657497781721385,0.05662913828823127,0.8469387755102041,0,0.6814685673264268,0.4144621298734729,196.473318
breast-cancer,6,18,2.0,0.1788548752834467,0.048026446723068786,0.7653061224489796,0,0.5734176396390565,0.49077960638100504,135.414892
breast-cancer,7,29,1.9310344827586208,0.1725897255453906,0.060443484534714174,0.8367346938775511,0,0.6148453265098085,0.42689140312085033,211.028777
breast-cancer,8,24,1.875,0.17665816326530612,0.05116502675522311,0.7806122448979592,0,0.6387006065964295,0.4801180553304273,167.414928
breast-cancer,9,25,2.04,0.1704081632653061,0.051689490375158936,0.7653061224489796,0,0.6097763656360754,0.49077960638100504,195.803735
breast-cancer,10,22,1.9090909090909092,0.17346938775510204,0.04540008474968392,0.8316326530612245,0,0.705582232893157,0.43275723937231075,194.207678
