Dataset,expID,num_rules,length,rule_coverage,set_coverage,cr
actg320,0,2,1.0,0.5,1.0,0.0
actg320,1,2,1.0,0.5,1.0,0.0
actg320,2,2,1.0,0.5,1.0,0.0
actg320,3,2,1.0,0.5,1.0,0.0
actg320,4,4,1.0,0.4613379669852302,1.0,0.3024799527472268
actg320,5,2,1.0,0.5,1.0,0.0
actg320,6,2,1.0,0.5,1.0,0.0
actg320,7,4,2.0,0.342745438748914,0.9600347523892268,0.34841142159955335
actg320,8,2,1.0,0.5,1.0,0.0
actg320,9,4,1.75,0.40312771503040834,0.9721980886185926,0.3729993034542698
actg320,10,2,1.0,0.5,1.0,0.0
actg320,11,2,1.0,0.5,1.0,0.0
actg320,12,4,1.5,0.32971329278887923,1.0,0.3369173165569566
actg320,13,4,1.25,0.4000868809730669,1.0,0.37480980047562135
actg320,14,2,1.0,0.5,1.0,0.0
actg320,15,3,1.3333333333333333,0.366637706342311,1.0,0.1635228930677705
actg320,16,2,1.0,0.5,1.0,0.0
actg320,17,2,1.0,0.5,1.0,0.0
actg320,18,2,1.0,0.5,1.0,0.0
actg320,19,3,1.0,0.44801621778163914,1.0,0.33581995252154623
actg320,20,2,1.0,0.5,1.0,0.0
actg320,21,2,1.0,0.5,1.0,0.0
actg320,22,2,1.0,0.5,1.0,0.0
actg320,23,3,1.0,0.38604112366058496,1.0,0.2298897921700245
actg320,24,3,1.0,0.44801621778163914,1.0,0.33581995252154656
actg320,25,3,1.0,0.40110049232551404,1.0,0.26920932041514034
actg320,26,3,1.0,0.3996524761077324,1.0,0.2658532592956348
actg320,27,2,1.0,0.5,1.0,0.0
actg320,28,3,1.0,0.38604112366058496,1.0,0.2298897921700245
actg320,29,3,1.0,0.38604112366058496,1.0,0.2298897921700245
breast-cancer,0,7,1.2857142857142858,0.36078717201166177,1.0,0.34545454545454535
breast-cancer,1,6,1.5,0.39965986394557823,0.9948979591836735,0.3641988710377769
breast-cancer,2,7,1.7142857142857142,0.3075801749271137,0.9795918367346939,0.3345584679369376
breast-cancer,3,10,1.6,0.25816326530612244,0.9693877551020408,0.36299104622086104
