Dataset,expID,num_rules,length,rule_coverage,set_coverage,cr
actg320,0,3,1.0,0.40110049232551404,1.0,0.2692093204151394
actg320,1,2,1.5,0.47089487402258906,0.9417897480451781,0.05821025195482203
actg320,2,2,2.0,0.4643788010425717,0.9287576020851434,0.07124239791485615
actg320,3,3,1.3333333333333333,0.38024905878945847,0.9669852302345786,0.22875303636760233
actg320,4,4,1.0,0.40030408340573415,1.0,0.2994664103450093
actg320,5,6,1.6666666666666667,0.23443382565884735,0.8470894874022589,0.379442856307241
actg320,6,4,1.5,0.34448305821025194,0.9947871416159861,0.34072898943075614
actg320,7,4,1.0,0.35056472632493485,1.0,0.34294191678590963
actg320,8,3,1.0,0.40110049232551404,1.0,0.2692093204151394
actg320,9,3,1.3333333333333333,0.3756154068925572,1.0,0.19657741215274963
actg320,10,5,1.2,0.31016507384882713,0.9331016507384883,0.3625233933712413
actg320,11,2,1.0,0.5,1.0,0.0
actg320,12,4,1.0,0.40030408340573415,1.0,0.2994664103450093
actg320,13,4,1.0,0.3392701998262381,1.0,0.3493082338911424
actg320,14,4,1.0,0.35056472632493485,1.0,0.34294191678590963
actg320,15,2,1.0,0.5,1.0,0.0
actg320,16,2,1.0,0.5,1.0,0.0
actg320,17,2,1.0,0.5,1.0,0.0
actg320,18,4,1.75,0.3470894874022589,0.9808861859252823,0.3399101178819348
actg320,19,2,1.0,0.5,1.0,0.0
actg320,20,4,1.0,0.40030408340573415,1.0,0.2994664103450093
actg320,21,4,1.0,0.3392701998262381,1.0,0.36485336471875823
actg320,22,4,1.0,0.3403562119895743,1.0,0.3505844089959217
actg320,23,2,1.0,0.5,1.0,0.0
actg320,24,2,1.0,0.5,1.0,0.0
actg320,25,2,1.0,0.5,1.0,0.0
actg320,26,3,1.0,0.40110049232551404,1.0,0.2692093204151394
actg320,27,5,1.2,0.337619461337967,0.9730668983492615,0.3399943569846651
actg320,28,3,1.0,0.3996524761077324,1.0,0.26585325929563836
actg320,29,4,1.0,0.40030408340573415,1.0,0.2994664103450093
breast-cancer,0,11,2.5454545454545454,0.15074211502782933,0.8979591836734694,0.4017582417582413
breast-cancer,1,10,2.3,0.19642857142857142,0.8826530612244898,0.37782931354359856
breast-cancer,2,7,1.7142857142857142,0.2237609329446064,0.8826530612244898,0.3977431363424851
breast-cancer,3,10,2.4,0.20918367346938777,0.9591836734693877,0.35624688899950296
breast-cancer,4,10,2.3,0.1760204081632653,0.8979591836734694,0.3973084886128367
breast-cancer,5,10,2.1,0.2,0.9081632653061225,0.37755102040816324
breast-cancer,6,10,2.5,0.2,0.923469387755102,0.413265306122449
breast-cancer,7,9,2.111111111111111,0.18480725623582767,0.8724489795918368,0.41238888193314177
