,num_rules,length,rule_coverage,set_coverage,ibs,cr,h
actg320,8.0,2.75,0.21079496090356212,1.0,0.0,0.5770937710236494,0.0
breast-cancer,16.0,4.4375,0.13360969387755103,1.0,0.0,0.41400808533437383,0.0
cancer,11.0,1.8181818181818181,0.19805194805194806,1.0,0.0,0.4931693989071029,0.0
carcinoma,3.0,1.0,0.3298791018998273,0.9896373056994818,0.0,0.010362694300518204,0.0683156169665086
gbsg2,18.0,1.5,0.17314544865565273,1.0,0.0,0.29347882411016074,0.0
lung,7.0,1.1428571428571428,0.3538925003963849,1.0,0.0,0.33680617712696703,0.0
melanoma,3.0,1.3333333333333333,0.3951219512195122,1.0,0.0,0.254782695975108,0.0
mgus2,19.0,2.0,0.1615923216112029,0.9977578475336323,0.0,0.3216255277900315,0.019732959416861668
mgus,11.0,2.8181818181818183,0.20041322314049587,0.9943181818181818,0.0,0.38888238050609303,0.04238313419680283
pbc,4.0,1.5,0.45018115942028986,1.0,0.0,0.24811185956317658,0.0
ptc,4.0,1.25,0.4375,0.9969879518072289,0.0,0.21213425129087904,0.02522602238357508
uis,14.0,2.0714285714285716,0.2483229813664596,0.9947826086956522,0.0,0.3725053831263445,0.039560638148403035
veteran,11.0,1.3636363636363635,0.19177173191771732,1.0,0.0,0.3233904983204098,0.0
whas500,3.0,1.0,0.4086666666666667,1.0,0.0,0.2853572593800979,0.0
